GID_0,COUNTRY,NAME_1,TYPE_1,ENGTYPE_1
COD,Democratic Republic of the Congo,Bas-Uele,Province,Province
COD,Democratic Republic of the Congo,Équateur,Province,Province
COD,Democratic Republic of the Congo,Haut-Katanga,Province,Province
COD,Democratic Republic of the Congo,Haut-Lomami,Province,Province
COD,Democratic Republic of the Congo,Haut-Uele,Province,Province
COD,Democratic Republic of the Congo,Ituri,Province,Province
COD,Democratic Republic of the Congo,Kasaï,Province,Province
COD,Democratic Republic of the Congo,Kasaï-Central,Province,Province
COD,Democratic Republic of the Congo,Kasaï-Oriental,Province,Province
COD,Democratic Republic of the Congo,Kinshasa,Province,Province
COD,Democratic Republic of the Congo,Kongo-Central,Province,Province
COD,Democratic Republic of the Congo,Kwango,Province,Province
COD,Democratic Republic of the Congo,Kwilu,Province,Province
COD,Democratic Republic of the Congo,Lomami,Province,Province
COD,Democratic Republic of the Congo,Lualaba,Province,Province
COD,Democratic Republic of the Congo,Mai-Ndombe,Province,Province
COD,Democratic Republic of the Congo,Maniema,Province,Province
COD,Democratic Republic of the Congo,Mongala,Province,Province
COD,Democratic Republic of the Congo,Nord-Kivu,Province,Province
COD,Democratic Republic of the Congo,Nord-Ubangi,Province,Province
COD,Democratic Republic of the Congo,Sankuru,Province,Province
COD,Democratic Republic of the Congo,Sud-Kivu,Province,Province
COD,Democratic Republic of the Congo,Sud-Ubangi,Province,Province
COD,Democratic Republic of the Congo,Tanganyika,Province,Province
COD,Democratic Republic of the Congo,Tshopo,Province,Province
COD,Democratic Republic of the Congo,Tshuapa,Province,Province
