GID_0,COUNTRY,GID_1,NAME_1,NAME_2,TYPE_2,ENGTYPE_2
COD,Democratic Republic of the Congo,COD.1_1,Bas-Uele,Aketi,Territoire,Territory
COD,Democratic Republic of the Congo,COD.1_1,Bas-Uele,Aketi (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.1_1,Bas-Uele,Ango,Territoire,Territory
COD,Democratic Republic of the Congo,COD.1_1,Bas-Uele,Bambesa,Territoire,Territory
COD,Democratic Republic of the Congo,COD.1_1,Bas-Uele,Bondo,Territoire,Territory
COD,Democratic Republic of the Congo,COD.1_1,Bas-Uele,Bondo (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.1_1,Bas-Uele,Buta,Territoire,Territory
COD,Democratic Republic of the Congo,COD.1_1,Bas-Uele,Buta (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.1_1,Bas-Uele,Dingila,Ville,Town
COD,Democratic Republic of the Congo,COD.1_1,Bas-Uele,Poko,Territoire,Territory
COD,Democratic Republic of the Congo,COD.2_1,Équateur,Basankusu,Territoire,Territory
COD,Democratic Republic of the Congo,COD.2_1,Équateur,Basankusu (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.2_1,Équateur,Bikoro,Territoire,Territory
COD,Democratic Republic of the Congo,COD.2_1,Équateur,Bolomba,Territoire,Territory
COD,Democratic Republic of the Congo,COD.2_1,Équateur,Bomongo,Territoire,Territory
COD,Democratic Republic of the Congo,COD.2_1,Équateur,Ingende,Territoire,Territory
COD,Democratic Republic of the Congo,COD.2_1,Équateur,Lukolela,Territoire,Territory
COD,Democratic Republic of the Congo,COD.2_1,Équateur,Makanza,Territoire,Territory
COD,Democratic Republic of the Congo,COD.2_1,Équateur,Mbandaka,Territoire,Territory
COD,Democratic Republic of the Congo,COD.3_1,Haut-Katanga,Kambove,Territoire,Territory
COD,Democratic Republic of the Congo,COD.3_1,Haut-Katanga,Kasenga,Territoire,Territory
COD,Democratic Republic of the Congo,COD.3_1,Haut-Katanga,Kipushi,Territoire,Territory
COD,Democratic Republic of the Congo,COD.3_1,Haut-Katanga,Kipushi (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.3_1,Haut-Katanga,Likasi,Territoire,Territory
COD,Democratic Republic of the Congo,COD.3_1,Haut-Katanga,Lubumbashi,Territoire,Territory
COD,Democratic Republic of the Congo,COD.3_1,Haut-Katanga,Mitwaba,Territoire,Territory
COD,Democratic Republic of the Congo,COD.3_1,Haut-Katanga,Pweto,Territoire,Territory
COD,Democratic Republic of the Congo,COD.3_1,Haut-Katanga,Sakania,Territoire,Territory
COD,Democratic Republic of the Congo,COD.4_1,Haut-Lomami,Bukama,Territoire,Territory
COD,Democratic Republic of the Congo,COD.4_1,Haut-Lomami,Kabongo,Territoire,Territory
COD,Democratic Republic of the Congo,COD.4_1,Haut-Lomami,Kamina,Territoire,Territory
COD,Democratic Republic of the Congo,COD.4_1,Haut-Lomami,Kamina (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.4_1,Haut-Lomami,Kaniama,Territoire,Territory
COD,Democratic Republic of the Congo,COD.4_1,Haut-Lomami,Malemba-Nkulu,Territoire,Territory
COD,Democratic Republic of the Congo,COD.5_1,Haut-Uele,Aba,Ville,Town
COD,Democratic Republic of the Congo,COD.5_1,Haut-Uele,Dungu,Territoire,Territory
COD,Democratic Republic of the Congo,COD.5_1,Haut-Uele,Dungu (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.5_1,Haut-Uele,Faradje,Territoire,Territory
COD,Democratic Republic of the Congo,COD.5_1,Haut-Uele,Isiro,Ville,Town
COD,Democratic Republic of the Congo,COD.5_1,Haut-Uele,Niangara,Territoire,Territory
COD,Democratic Republic of the Congo,COD.5_1,Haut-Uele,Rungu,Territoire,Territory
COD,Democratic Republic of the Congo,COD.5_1,Haut-Uele,Wamba,Territoire,Territory
COD,Democratic Republic of the Congo,COD.5_1,Haut-Uele,Wamba (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.5_1,Haut-Uele,Watsa,Territoire,Territory
COD,Democratic Republic of the Congo,COD.5_1,Haut-Uele,Watsa (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.6_1,Ituri,Ariwara,Ville,Town
COD,Democratic Republic of the Congo,COD.6_1,Ituri,Aru,Territoire,Territory
COD,Democratic Republic of the Congo,COD.6_1,Ituri,Aru (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.6_1,Ituri,Bunia,Ville,Town
COD,Democratic Republic of the Congo,COD.6_1,Ituri,Djugu,Territoire,Territory
COD,Democratic Republic of the Congo,COD.6_1,Ituri,Ingbokolo,Ville,Town
COD,Democratic Republic of the Congo,COD.6_1,Ituri,Irumu,Territoire,Territory
COD,Democratic Republic of the Congo,COD.6_1,Ituri,Mahagi,Territoire,Territory
COD,Democratic Republic of the Congo,COD.6_1,Ituri,Mahagi (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.6_1,Ituri,Mambasa,Territoire,Territory
COD,Democratic Republic of the Congo,COD.6_1,Ituri,Mongwalu,Ville,Town
COD,Democratic Republic of the Congo,COD.9_1,Kasaï,Dekese,Territoire,Territory
COD,Democratic Republic of the Congo,COD.9_1,Kasaï,Ilebo,Territoire,Territory
COD,Democratic Republic of the Congo,COD.9_1,Kasaï,Ilebo (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.9_1,Kasaï,Kamonia,Territoire,Territory
COD,Democratic Republic of the Congo,COD.9_1,Kasaï,Luebo,Territoire,Territory
COD,Democratic Republic of the Congo,COD.9_1,Kasaï,Luebo (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.9_1,Kasaï,Mweka,Territoire,Territory
COD,Democratic Republic of the Congo,COD.9_1,Kasaï,Tshikapa,Ville,Town
COD,Democratic Republic of the Congo,COD.7_1,Kasaï-Central,Demba,Territoire,Territory
COD,Democratic Republic of the Congo,COD.7_1,Kasaï-Central,Dibaya,Territoire,Territory
COD,Democratic Republic of the Congo,COD.7_1,Kasaï-Central,Dimbelenge,Territoire,Territory
COD,Democratic Republic of the Congo,COD.7_1,Kasaï-Central,Kananga,Territoire,Territory
COD,Democratic Republic of the Congo,COD.7_1,Kasaï-Central,Kazumba,Territoire,Territory
COD,Democratic Republic of the Congo,COD.7_1,Kasaï-Central,Luiza,Territoire,Territory
COD,Democratic Republic of the Congo,COD.7_1,Kasaï-Central,Tshimbulu,Ville,Town
COD,Democratic Republic of the Congo,COD.8_1,Kasaï-Oriental,Kabeya-Kamwanga,Territoire,Territory
COD,Democratic Republic of the Congo,COD.8_1,Kasaï-Oriental,Katanda,Territoire,Territory
COD,Democratic Republic of the Congo,COD.8_1,Kasaï-Oriental,Lukalaba,Ville,Town
COD,Democratic Republic of the Congo,COD.8_1,Kasaï-Oriental,Lupatapata,Territoire,Territory
COD,Democratic Republic of the Congo,COD.8_1,Kasaï-Oriental,Mbuji-Mayi,Ville,Town
COD,Democratic Republic of the Congo,COD.8_1,Kasaï-Oriental,Miabi,Territoire,Territory
COD,Democratic Republic of the Congo,COD.8_1,Kasaï-Oriental,Miabi (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.8_1,Kasaï-Oriental,Tshilenge,Territoire,Territory
COD,Democratic Republic of the Congo,COD.8_1,Kasaï-Oriental,Tshilenge (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.10_1,Kinshasa,Kinshasa,Territoire,Territory
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Bangu,Ville,Town
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Boma,Territoire,Territory
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Inkisi,Ville,Town
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Kasangulu,Territoire,Territory
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Kasangulu (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Kimvula,Territoire,Territory
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Lukula,Territoire,Territory
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Lukula (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Luozi,Territoire,Territory
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Madimba,Territoire,Territory
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Matadi,Ville,Town
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Mbanza-Ngungu,Territoire,Territory
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Mbanza-Ngungu (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Moanda,Territoire,Territory
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Moanda (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Seke-Banza,Territoire,Territory
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Songololo,Territoire,Territory
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Tshela,Territoire,Territory
COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,Tshela (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.12_1,Kwango,Feshi,Territoire,Territory
COD,Democratic Republic of the Congo,COD.12_1,Kwango,Kahemba,Territoire,Territory
COD,Democratic Republic of the Congo,COD.12_1,Kwango,Kahemba (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.12_1,Kwango,Kasongo-Lunda,Territoire,Territory
COD,Democratic Republic of the Congo,COD.12_1,Kwango,Kasongo-Lunda (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.12_1,Kwango,Kenge,Territoire,Territory
COD,Democratic Republic of the Congo,COD.12_1,Kwango,Kenge (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.12_1,Kwango,Popokabaka,Territoire,Territory
COD,Democratic Republic of the Congo,COD.13_1,Kwilu,Bagata,Territoire,Territory
COD,Democratic Republic of the Congo,COD.13_1,Kwilu,Bandundu,Territoire,Territory
COD,Democratic Republic of the Congo,COD.13_1,Kwilu,Bulungu,Territoire,Territory
COD,Democratic Republic of the Congo,COD.13_1,Kwilu,Bulungu (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.13_1,Kwilu,Dibaya-Lubwe,Ville,Town
COD,Democratic Republic of the Congo,COD.13_1,Kwilu,Gungu,Territoire,Territory
COD,Democratic Republic of the Congo,COD.13_1,Kwilu,Gungu (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.13_1,Kwilu,Idiofa,Territoire,Territory
COD,Democratic Republic of the Congo,COD.13_1,Kwilu,Idiofa (ville),Ville,Town
COD,Democratic Republic of the Congo,COD.13_1,Kwilu,Kikwit,Ville,Town
