GID_1,GID_0,COUNTRY,NAME_1,TYPE_1,ENGTYPE_1
GHA1_2,GHA,Ghana,Ahafo,Region,Region
GHA2_2,GHA,Ghana,Ashanti,Region,Region
GHA3_2,GHA,Ghana,Bono,Region,Region
GHA4_2,GHA,Ghana,Bono East,Region,Region
GHA5_2,GHA,Ghana,Central,Region,Region
GHA6_2,GHA,Ghana,Eastern,Region,Region
GHA7_2,GHA,Ghana,Greater Accra,Region,Region
GHA8_2,GHA,Ghana,North East,Region,Region
GHA9_2,GHA,Ghana,Northern,Region,Region
GHA10_2,GHA,Ghana,Oti,Region,Region
GHA11_2,GHA,Ghana,Savannah,Region,Region
GHA12_2,GHA,Ghana,Upper East,Region,Region
GHA13_2,GHA,Ghana,Upper West,Region,Region
GHA14_2,GHA,Ghana,Volta,Region,Region
GHA15_2,GHA,Ghana,Western,Region,Region
GHA16_2,GHA,Ghana,Western North,Region,Region
