GID_0,COUNTRY,GID_1,NAME_1,NAME_2,TYPE_2,ENGTYPE_2
GHA,Ghana,GHA1_2,Ahafo,Asunafo North,Municipality,Municipality
GHA,Ghana,GHA1_2,Ahafo,Asunafo South,District,District
GHA,Ghana,GHA1_2,Ahafo,Asutifi North,District,District
GHA,Ghana,GHA1_2,Ahafo,Asutifi South,District,District
GHA,Ghana,GHA1_2,Ahafo,Tano North,Municipality,Municipality
GHA,Ghana,GHA1_2,Ahafo,Tano South,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Adansi Akrofuom,District,District
GHA,Ghana,GHA2_2,Ashanti,Adansi Asokwa,District,District
GHA,Ghana,GHA2_2,Ashanti,Adansi North,District,District
GHA,Ghana,GHA2_2,Ashanti,Adansi South,District,District
GHA,Ghana,GHA2_2,Ashanti,Afigya-Kwabre North,District,District
GHA,Ghana,GHA2_2,Ashanti,Afigya-Kwabre South,District,District
GHA,Ghana,GHA2_2,Ashanti,Ahafo-Ano North,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Ahafo-Ano South East,District,District
GHA,Ghana,GHA2_2,Ashanti,Ahafo-Ano South West,District,District
GHA,Ghana,GHA2_2,Ashanti,Amansie Central,District,District
GHA,Ghana,GHA2_2,Ashanti,Amansie South,District,District
GHA,Ghana,GHA2_2,Ashanti,Amansie West,District,District
GHA,Ghana,GHA2_2,Ashanti,Asante-Akim Central,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Asante-Akim North,District,District
GHA,Ghana,GHA2_2,Ashanti,Asante-Akim South,District,District
GHA,Ghana,GHA2_2,Ashanti,Asokore-Mampong,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Asokwa,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Atwima-Kwanwoma,District,District
GHA,Ghana,GHA2_2,Ashanti,Atwima-Mponua,District,District
GHA,Ghana,GHA2_2,Ashanti,Atwima-Nwabiagya North,District,District
GHA,Ghana,GHA2_2,Ashanti,Atwima-Nwabiagya South,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Bekwai,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Bosome Freho,District,District
GHA,Ghana,GHA2_2,Ashanti,Bosomtwe,District,District
GHA,Ghana,GHA2_2,Ashanti,Ejisu,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Ejura-Sekyedumase,District,District
GHA,Ghana,GHA2_2,Ashanti,Juaben,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Kumasi,Metropolis,Metropolis
GHA,Ghana,GHA2_2,Ashanti,Kwabre East,District,District
GHA,Ghana,GHA2_2,Ashanti,Kwadaso,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Mampong,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Obuasi,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Obuasi East,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Offinso,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Offinso North,District,District
GHA,Ghana,GHA2_2,Ashanti,Oforikrom,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Old Tafo,Municipality,Municipality
GHA,Ghana,GHA2_2,Ashanti,Sekyere Afram Plains North,District,District
GHA,Ghana,GHA2_2,Ashanti,Sekyere Central,District,District
GHA,Ghana,GHA2_2,Ashanti,Sekyere East,District,District
GHA,Ghana,GHA2_2,Ashanti,Sekyere Kumawu,District,District
GHA,Ghana,GHA2_2,Ashanti,Sekyere South,District,District
GHA,Ghana,GHA2_2,Ashanti,Suame,Municipality,Municipality
GHA,Ghana,GHA3_2,Bono,Banda,District,District
GHA,Ghana,GHA3_2,Bono,Berekum East,Municipality,Municipality
GHA,Ghana,GHA3_2,Bono,Berekum West,District,District
GHA,Ghana,GHA3_2,Bono,Dormaa,Municipality,Municipality
GHA,Ghana,GHA3_2,Bono,Dormaa East,District,District
GHA,Ghana,GHA3_2,Bono,Dormaa West,District,District
GHA,Ghana,GHA3_2,Bono,Jaman North,District,District
GHA,Ghana,GHA3_2,Bono,Jaman South,Municipality,Municipality
GHA,Ghana,GHA3_2,Bono,Sunyani,Municipality,Municipality
GHA,Ghana,GHA3_2,Bono,Sunyani West,District,District
GHA,Ghana,GHA3_2,Bono,Tain,District,District
GHA,Ghana,GHA3_2,Bono,Wenchi,Municipality,Municipality
GHA,Ghana,GHA4_2,Bono East,Atebubu-Amantin,Municipality,Municipality
GHA,Ghana,GHA4_2,Bono East,Kintampo North,Municipality,Municipality
GHA,Ghana,GHA4_2,Bono East,Kintampo South,District,District
GHA,Ghana,GHA4_2,Bono East,Nkoranza North,District,District
GHA,Ghana,GHA4_2,Bono East,Nkoranza South,Municipality,Municipality
GHA,Ghana,GHA4_2,Bono East,Pru East,District,District
GHA,Ghana,GHA4_2,Bono East,Pru West,District,District
GHA,Ghana,GHA4_2,Bono East,Sene East,District,District
GHA,Ghana,GHA4_2,Bono East,Sene West,District,District
GHA,Ghana,GHA4_2,Bono East,Techiman,Municipality,Municipality
GHA,Ghana,GHA4_2,Bono East,Techiman North,District,District
GHA,Ghana,GHA5_2,Central,Abura-Asebu-Kwamankese,District,District
GHA,Ghana,GHA5_2,Central,Agona East,District,District
GHA,Ghana,GHA5_2,Central,Agona West,Municipality,Municipality
GHA,Ghana,GHA5_2,Central,Ajumako-Enyan-Essiam,District,District
GHA,Ghana,GHA5_2,Central,Asikuma-Odoben-Brakwa,District,District
GHA,Ghana,GHA5_2,Central,Assin Central,Municipality,Municipality
GHA,Ghana,GHA5_2,Central,Assin North,District,District
GHA,Ghana,GHA5_2,Central,Assin South,District,District
GHA,Ghana,GHA5_2,Central,Awutu Senya East,Municipality,Municipality
GHA,Ghana,GHA5_2,Central,Awutu Senya West,District,District
GHA,Ghana,GHA5_2,Central,Cape Coast,Metropolis,Metropolis
GHA,Ghana,GHA5_2,Central,Effutu,Municipality,Municipality
GHA,Ghana,GHA5_2,Central,Ekumfi,District,District
GHA,Ghana,GHA5_2,Central,Gomoa Central,District,District
GHA,Ghana,GHA5_2,Central,Gomoa East,District,District
GHA,Ghana,GHA5_2,Central,Gomoa West,District,District
GHA,Ghana,GHA5_2,Central,Komenda-Edina-Eguafo-Abirem-,Municipality,Municipality
GHA,Ghana,GHA5_2,Central,Mfantseman,Municipality,Municipality
GHA,Ghana,GHA5_2,Central,Twifo-Atti-Morkwa,District,District
GHA,Ghana,GHA5_2,Central,Twifo-Hemang-Lower Denkyira,District,District
GHA,Ghana,GHA5_2,Central,Upper Denkyira East,Municipality,Municipality
GHA,Ghana,GHA5_2,Central,Upper Denkyira West,District,District
GHA,Ghana,GHA6_2,Eastern,Abuakwa North,Municipality,Municipality
GHA,Ghana,GHA6_2,Eastern,Abuakwa South,Municipality,Municipality
GHA,Ghana,GHA6_2,Eastern,Achiase,District,District
GHA,Ghana,GHA6_2,Eastern,Akwapem North,Municipality,Municipality
GHA,Ghana,GHA6_2,Eastern,Akwapem South,District,District
GHA,Ghana,GHA6_2,Eastern,Akyemansa,District,District
GHA,Ghana,GHA6_2,Eastern,Asene-Manso-Akroso,District,District
GHA,Ghana,GHA6_2,Eastern,Asuogyaman,District,District
GHA,Ghana,GHA6_2,Eastern,Atiwa East,District,District
GHA,Ghana,GHA6_2,Eastern,Atiwa West,District,District
GHA,Ghana,GHA6_2,Eastern,Ayensuano,District,District
GHA,Ghana,GHA6_2,Eastern,Birim Central,Municipality,Municipality
GHA,Ghana,GHA6_2,Eastern,Birim North,District,District
GHA,Ghana,GHA6_2,Eastern,Birim South,District,District
GHA,Ghana,GHA6_2,Eastern,Denkyembour,District,District
GHA,Ghana,GHA6_2,Eastern,Fanteakwa North,District,District
