GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
KEN.1.1_1,KEN,Kenya,KEN.1_1,Baringo,NA,"805",NA,NA,Constituency,Constituency,"162",NA
KEN.1.2_1,KEN,Kenya,KEN.1_1,Baringo,NA,Baringo Central,NA,NA,Constituency,Constituency,"159",NA
KEN.1.3_1,KEN,Kenya,KEN.1_1,Baringo,NA,Baringo North,NA,NA,Constituency,Constituency,"158",NA
KEN.1.4_1,KEN,Kenya,KEN.1_1,Baringo,NA,Baringo South,NA,NA,Constituency,Constituency,"160",NA
KEN.1.5_1,KEN,Kenya,KEN.1_1,Baringo,NA,Eldama Ravine,NA,NA,Constituency,Constituency,"162",NA
KEN.1.6_1,KEN,Kenya,KEN.1_1,Baringo,NA,Mogotio,NA,NA,Constituency,Constituency,"161",NA
KEN.1.7_1,KEN,Kenya,KEN.1_1,Baringo,NA,Tiaty,NA,NA,Constituency,Constituency,"157",NA
KEN.2.1_1,KEN,Kenya,KEN.2_1,Bomet,NA,Bomet Central,NA,NA,Constituency,Constituency,"197",NA
KEN.2.2_1,KEN,Kenya,KEN.2_1,Bomet,NA,Bomet East,NA,NA,Constituency,Constituency,"196",NA
KEN.2.3_1,KEN,Kenya,KEN.2_1,Bomet,NA,Chepalungu,NA,NA,Constituency,Constituency,"195",NA
KEN.2.4_1,KEN,Kenya,KEN.2_1,Bomet,NA,Konoin,NA,NA,Constituency,Constituency,"198",NA
KEN.2.5_1,KEN,Kenya,KEN.2_1,Bomet,NA,Sotik,NA,NA,Constituency,Constituency,"194",NA
KEN.3.1_1,KEN,Kenya,KEN.3_1,Bungoma,NA,Bumula,NA,NA,Constituency,Constituency,"219",NA
KEN.3.2_1,KEN,Kenya,KEN.3_1,Bungoma,NA,Kabuchai,NA,NA,Constituency,Constituency,"218",NA
KEN.3.3_1,KEN,Kenya,KEN.3_1,Bungoma,NA,Kanduyi,NA,NA,Constituency,Constituency,"220",NA
KEN.3.4_1,KEN,Kenya,KEN.3_1,Bungoma,NA,Kimilili,NA,NA,Constituency,Constituency,"223",NA
KEN.3.5_1,KEN,Kenya,KEN.3_1,Bungoma,NA,Likuyani,NA,NA,Constituency,Constituency,"200",NA
KEN.3.6_1,KEN,Kenya,KEN.3_1,Bungoma,NA,Lugari,NA,NA,Constituency,Constituency,"199",NA
KEN.3.7_1,KEN,Kenya,KEN.3_1,Bungoma,NA,Mt. Elgon,NA,NA,Constituency,Constituency,"216",NA
KEN.3.8_1,KEN,Kenya,KEN.3_1,Bungoma,NA,Sirisia,NA,NA,Constituency,Constituency,"217",NA
KEN.3.9_1,KEN,Kenya,KEN.3_1,Bungoma,NA,Tongaren,NA,NA,Constituency,Constituency,"224",NA
KEN.3.10_1,KEN,Kenya,KEN.3_1,Bungoma,NA,Webute West,NA,NA,Constituency,Constituency,"222",NA
KEN.3.11_1,KEN,Kenya,KEN.3_1,Bungoma,NA,Webuye East,NA,NA,Constituency,Constituency,"221",NA
KEN.4.1_1,KEN,Kenya,KEN.4_1,Busia,NA,Budalangi,NA,NA,Constituency,Constituency,"231",NA
KEN.4.2_1,KEN,Kenya,KEN.4_1,Busia,NA,Butula,NA,NA,Constituency,Constituency,"229",NA
KEN.4.3_1,KEN,Kenya,KEN.4_1,Busia,NA,Funyula,NA,NA,Constituency,Constituency,"230",NA
KEN.4.4_1,KEN,Kenya,KEN.4_1,Busia,NA,Matayos,NA,NA,Constituency,Constituency,"228",NA
KEN.4.5_1,KEN,Kenya,KEN.4_1,Busia,NA,Nambale,NA,NA,Constituency,Constituency,"227",NA
KEN.4.6_1,KEN,Kenya,KEN.4_1,Busia,NA,Teso North,NA,NA,Constituency,Constituency,"225",NA
KEN.4.7_1,KEN,Kenya,KEN.4_1,Busia,NA,Teso South,NA,NA,Constituency,Constituency,"226",NA
KEN.5.1_1,KEN,Kenya,KEN.5_1,Elgeyo-Marakwet,NA,Keiyo North,NA,NA,Constituency,Constituency,"149",NA
KEN.5.2_1,KEN,Kenya,KEN.5_1,Elgeyo-Marakwet,NA,Keiyo South,NA,NA,Constituency,Constituency,"150",NA
KEN.5.3_1,KEN,Kenya,KEN.5_1,Elgeyo-Marakwet,NA,Marakwet East,NA,NA,Constituency,Constituency,"147",NA
KEN.5.4_1,KEN,Kenya,KEN.5_1,Elgeyo-Marakwet,NA,Marakwet West,NA,NA,Constituency,Constituency,"148",NA
KEN.6.1_1,KEN,Kenya,KEN.6_1,Embu,NA,Manyatta,NA,NA,Constituency,Constituency,"63",NA
KEN.6.2_1,KEN,Kenya,KEN.6_1,Embu,NA,Mbeere North,NA,NA,Constituency,Constituency,"66",NA
KEN.6.3_1,KEN,Kenya,KEN.6_1,Embu,NA,Mbeere South,NA,NA,Constituency,Constituency,"65",NA
