name,coordinates,query,latitude,longitude
Metalex Clay Product,"{""latitude"":5.6032456999999996,""longitude"":-0.2125084}",clay products in ghana,5.6032457,-0.2125084
Matamiss Pottery,"{""latitude"":5.7123849,""longitude"":-0.0016472}",clay products in ghana,5.7123849,-0.0016472
C & M Clay Products Ltd.,"{""latitude"":5.5696414,""longitude"":-0.2186429}",clay products in ghana,5.5696414,-0.2186429
MY STRONGHOLD INTERLOCKING BRICKS ENT GHANA.,"{""latitude"":5.1260943999999995,""longitude"":-1.2619232}",brick in ghana,5.1260944,-1.2619232
"Bricknbuild Ltd, Sakaman Office","{""latitude"":5.576188,""longitude"":-0.27504029999999996}",brick in ghana,5.576188,-0.2750403
Brick Manufacturer | Bricmates,"{""latitude"":5.551260999999999,""longitude"":-0.2140871}",brick in ghana,5.551261,-0.2140871
Brick House - North Legon,"{""latitude"":5.6877695,""longitude"":-0.181195}",brick in ghana,5.6877695,-0.181195
BRICKSAVE CONSTRUCTIONS,"{""latitude"":5.702357999999999,""longitude"":-0.1117893}",brick in ghana,5.702358,-0.1117893
BRRI Brick Factory,"{""latitude"":6.7054488,""longitude"":-1.534393}",brick in ghana,6.7054488,-1.534393
Brick house,"{""latitude"":5.5812228,""longitude"":-0.1347544}",brick in ghana,5.5812228,-0.1347544
Ghana Clay Bricks - Adidome Ceramics Company,"{""latitude"":6.0700294999999995,""longitude"":0.4906643}",brick in ghana,6.0700295,0.4906643
Brick on Bricks,"{""latitude"":5.8180464,""longitude"":-0.3626833}",brick in ghana,5.8180464,-0.3626833
Brick Oven Bakery,"{""latitude"":5.615569799999999,""longitude"":-0.10846779999999999}",brick in ghana,5.6155698,-0.1084678
Bricklane Development Group,"{""latitude"":5.7111174,""longitude"":-0.18795009999999998}",brick in ghana,5.7111174,-0.1879501
Kankam bricks and blocks,"{""latitude"":5.6668286,""longitude"":-0.22955219999999998}",brick in ghana,5.6668286,-0.2295522
BricknBuild,"{""latitude"":5.5838281,""longitude"":-0.2103998}",brick in ghana,5.5838281,-0.2103998
Bricks and Pipes Limited,"{""latitude"":5.5524283,""longitude"":-0.3162004}",brick in ghana,5.5524283,-0.3162004
RI-GOD Block Factory,"{""latitude"":5.715120499999999,""longitude"":-0.0517105}",brick in ghana,5.7151205,-0.0517105
Accra Block Factory,"{""latitude"":5.4916668,""longitude"":-0.5841792}",brick in ghana,5.4916668,-0.5841792
Brick Boys,"{""latitude"":5.6794972,""longitude"":-0.1315636}",brick in ghana,5.6794972,-0.1315636
De Brick,"{""latitude"":5.6317822,""longitude"":-0.1676992}",brick in ghana,5.6317822,-0.1676992
Hwidiem Gadafi Block Factory,"{""latitude"":6.778499999999999,""longitude"":-1.1031433}",brick in ghana,6.7785,-1.1031433
Brick and Wood,"{""latitude"":5.6087961,""longitude"":-0.2056535}",brick in ghana,5.6087961,-0.2056535
Brick House,"{""latitude"":5.7207357,""longitude"":0.1020031}",brick in ghana,5.7207357,0.1020031
Rhovanni Royal Limited,"{""latitude"":6.6983253,""longitude"":-1.6906888999999998}",brick in ghana,6.6983253,-1.6906889
ERINJOS Block Factory,"{""latitude"":6.7189637,""longitude"":-1.509018}",brick in ghana,6.7189637,-1.509018
No Melt Bricks & Tiles,"{""latitude"":6.7559667,""longitude"":-1.7653936}",brick in ghana,6.7559667,-1.7653936
Pafard Brick Factory,"{""latitude"":5.7752465,""longitude"":-0.32438249999999996}",brick in ghana,5.7752465,-0.3243825
THE BRICKS,"{""latitude"":5.7099537,""longitude"":-0.1528269}",brick in ghana,5.7099537,-0.1528269
Brick Mansion,"{""latitude"":5.1397029,""longitude"":-1.3076769}",brick in ghana,5.1397029,-1.3076769
Brick House Amrahia,"{""latitude"":5.7648959,""longitude"":-0.1421768}",brick in ghana,5.7648959,-0.1421768
Brick Red House,"{""latitude"":5.6031667,""longitude"":-0.1373338}",brick in ghana,5.6031667,-0.1373338
Blue Bricks limited,"{""latitude"":5.6212921,""longitude"":-0.1724782}",brick in ghana,5.6212921,-0.1724782
Bricks house,"{""latitude"":5.0918662,""longitude"":-1.3467546}",brick in ghana,5.0918662,-1.3467546
brick and grey real estate developers,"{""latitude"":5.6486771,""longitude"":-0.1674182}",brick in ghana,5.6486771,-0.1674182
BRICKS AND MORTAR GROUP LTD.,"{""latitude"":5.7560106,""longitude"":-0.4187568}",brick in ghana,5.7560106,-0.4187568
Harrious Block Factory (Head Office),"{""latitude"":5.7092996,""longitude"":-0.2208667}",brick in ghana,5.7092996,-0.2208667
Bricks and Concrete,"{""latitude"":5.7247050999999995,""longitude"":0.1167463}",brick in ghana,5.7247051,0.1167463
BESTEC BLOCK FACTORY,"{""latitude"":5.6440414,""longitude"":-0.1308533}",brick in ghana,5.6440414,-0.1308533
"Red Clay,Tamale","{""latitude"":9.4823325,""longitude"":-0.7943239}",clay in ghana,9.4823325,-0.7943239
Flexiclay Ghana,"{""latitude"":5.6409173,""longitude"":-0.1742503}",clay in ghana,5.6409173,-0.1742503
Len Clay Stadium,"{""latitude"":6.2089132,""longitude"":-1.6777438999999998}",clay in ghana,6.2089132,-1.6777439
Vume Clay Deposit,"{""latitude"":6.0086543,""longitude"":0.5507255999999999}",clay in ghana,6.0086543,0.5507256
Potter's Clay Ent,"{""latitude"":5.6440155999999995,""longitude"":0.0018958}",clay in ghana,5.6440156,0.0018958
Sirigu Women's Pottery Association (SWOPA),"{""latitude"":10.945543599999999,""longitude"":-0.9424222}",clay in ghana,10.9455436,-0.9424222
Clay Group,"{""latitude"":5.575505199999999,""longitude"":-0.2014166}",clay in ghana,5.5755052,-0.2014166
Yefrititi pots,"{""latitude"":5.7556353,""longitude"":-0.17389449999999998}",clay in ghana,5.7556353,-0.1738945
Acrilex Ghana,"{""latitude"":5.5656954999999995,""longitude"":-0.1831467}",clay in ghana,5.5656955,-0.1831467
Blacklamp Ventures | Diatomaceous Earth | Clay Fuller's Earth / Multani Mitti I Borax Ant Killer.,"{""latitude"":5.7026346,""longitude"":-0.1812851}",clay in ghana,5.7026346,-0.1812851
Mr. Edgmond Clay,"{""latitude"":5.6470166,""longitude"":-0.16132849999999999}",clay in ghana,5.6470166,-0.1613285
Traditional Ghanaian Clay pot and handcraft,"{""latitude"":9.4038466,""longitude"":-0.8208373}",clay in ghana,9.4038466,-0.8208373
