name,coordinates,query,latitude,longitude
A.b Top Brick Venture,"{""latitude"":9.1006,""longitude"":7.40719}",brick in nigeria,9.1006,7.40719
Afri-Bricks Construction Company,"{""latitude"":9.901437699999999,""longitude"":8.864815199999999}",brick in nigeria,9.9014377,8.8648152
"African Clay: Nzu, Eko, Ulo, Ayilo Global Distributor, Lagos Nigeria","{""latitude"":6.6816417999999995,""longitude"":3.3133025}",clay products in nigeria,6.6816418,3.3133025
Anchor Bar of Brick Rock,"{""latitude"":4.8202076,""longitude"":6.978506299999999}",brick in nigeria,4.8202076,6.9785063
Big Bricks & Concrete Development ltd,"{""latitude"":8.9450526,""longitude"":7.2872428}",brick in nigeria,8.9450526,7.2872428
Block Industry Fadan Kaje,"{""latitude"":9.7605241,""longitude"":8.3417756}",brick in nigeria,9.7605241,8.3417756
Born Bricks Interiors,"{""latitude"":6.5269384,""longitude"":3.3574998}",brick in nigeria,6.5269384,3.3574998
Brick Block Cool Spot,"{""latitude"":10.4895506,""longitude"":7.418823499999999}",brick in nigeria,10.4895506,7.4188235
Brick City,"{""latitude"":9.1537744,""longitude"":7.3220275}",brick in nigeria,9.1537744,7.3220275
Brick City Estate PHASE 1 Kagini,"{""latitude"":9.1410856,""longitude"":7.294284299999999}",brick in nigeria,9.1410856,7.2942843
Brick City Estate Phase II (Second Entrance),"{""latitude"":9.1433596,""longitude"":7.2933964}",brick in nigeria,9.1433596,7.2933964
Brick City Lounge,"{""latitude"":7.3707315,""longitude"":3.8516926999999996}",brick in nigeria,7.3707315,3.8516927
Brick City View,"{""latitude"":9.138665399999999,""longitude"":7.287214199999999}",brick in nigeria,9.1386654,7.2872142
Brick Homes Integrated Limited,"{""latitude"":6.5760945,""longitude"":3.3605232}",brick in nigeria,6.5760945,3.3605232
Brick House Restaurant,"{""latitude"":10.5268909,""longitude"":7.4427201}",brick in nigeria,10.5268909,7.4427201
Brick House Solicitors,"{""latitude"":9.081999,""longitude"":8.675277}",brick in nigeria,9.081999,8.675277
Brick Integrals construction CompanyLtd,,,6.61136111,3.342014547
Brick Icon Nig Ltd,"{""latitude"":6.5979896,""longitude"":3.3517194999999997}",brick in nigeria,6.5979896,3.3517195
"Brick rock hotels and suites (karaoke, nightclubs, swimming pool)","{""latitude"":4.8202307,""longitude"":6.9783187}",brick in nigeria,4.8202307,6.9783187
Brick-Funds,"{""latitude"":9.1118496,""longitude"":7.401803699999999}",brick in nigeria,9.1118496,7.4018037
Brickhall School,"{""latitude"":9.0095137,""longitude"":7.4388046}",brick in nigeria,9.0095137,7.4388046
BrickHouse Construction Company,"{""latitude"":6.4423490999999995,""longitude"":3.468515}",brick in nigeria,6.4423491,3.468515
Bricks,"{""latitude"":6.447527399999999,""longitude"":3.3693868}",brick in nigeria,6.4475274,3.3693868
Bricks and Bars,"{""latitude"":6.5243793,""longitude"":3.3792057}",brick in nigeria,6.5243793,3.3792057
Bricks and Clay Properties,"{""latitude"":6.447759,""longitude"":3.5306808}",brick in nigeria,6.447759,3.5306808
Bricks and Keys Limited,"{""latitude"":6.441256699999999,""longitude"":3.4586151999999997}",brick in nigeria,6.4412567,3.4586152
Bricks And Pavers,"{""latitude"":6.4556385999999994,""longitude"":3.5117175}",brick in nigeria,6.4556386,3.5117175
Bricks And Stones Nigeria Limited,"{""latitude"":7.268737,""longitude"":5.216576}",brick in nigeria,7.268737,5.216576
Bricks Bar,"{""latitude"":6.6270086,""longitude"":3.4916774999999998}",brick in nigeria,6.6270086,3.4916775
BRICKS N MORE NIGERIA LIMITED,"{""latitude"":9.03224,""longitude"":7.497586999999999}",brick in nigeria,9.03224,7.497587
Bricks Residence Hotel,"{""latitude"":6.4458543,""longitude"":3.5166163}",brick in nigeria,6.4458543,3.5166163
Building Resources Nigeria Limited,"{""latitude"":10.546682899999999,""longitude"":7.4403947}",brick in nigeria,10.5466829,7.4403947
Charcem Nigeria Enterprises,"{""latitude"":5.828933,""longitude"":6.9907311}",brick in nigeria,5.828933,6.9907311
Clay Industry (Nigeria) Limited,"{""latitude"":6.6042859,""longitude"":3.3616099}",clay products in nigeria,6.6042859,3.3616099
"Clay Industry (Nigeria), Ltd.","{""latitude"":6.4918238,""longitude"":3.2977477}",clay products in nigeria,6.4918238,3.2977477
Clay Industry Nigeria Limited,"{""latitude"":6.595479999999999,""longitude"":3.36991}",clay products in nigeria,6.59548,3.36991
Clayarts Place,"{""latitude"":6.439,""longitude"":3.5210445999999997}",clay products in nigeria,6.439,3.5210446
Crystal Bricks,"{""latitude"":9.0763129,""longitude"":7.4275096}",brick in nigeria,9.0763129,7.4275096
Crystal Bricks Cooperative,"{""latitude"":9.0765102,""longitude"":7.4888604999999995}",brick in nigeria,9.0765102,7.4888605
Crystal Bricks Cooperative,"{""latitude"":9.0604137,""longitude"":7.4484758}",brick in nigeria,9.0604137,7.4484758
DAJO POTTERY LIMITED,"{""latitude"":7.7156454,""longitude"":8.5867486}",clay products in nigeria,7.7156454,8.5867486
Duremmat Nigeria Enterpise,"{""latitude"":7.7189862,""longitude"":5.3109505}",brick in nigeria,7.7189862,5.3109505
Eco BriKo Homes,"{""latitude"":6.4579733,""longitude"":3.3901641999999996}",brick in nigeria,6.4579733,3.3901642
FARAD CONTRACTORS NIGERIA,,,6.4976722,3.3273108
Fortress Bricks Ltd,"{""latitude"":9.0665762,""longitude"":7.4393797}",brick in nigeria,9.0665762,7.4393797
Global red brick,"{""latitude"":9.0526249,""longitude"":7.4429266}",brick in nigeria,9.0526249,7.4429266
Gryn Bricks & Tech,"{""latitude"":9.086921799999999,""longitude"":7.4439557}",brick in nigeria,9.0869218,7.4439557
Hua Ou Clay Bricks,"{""latitude"":6.9218815,""longitude"":3.6351896999999997}",brick in nigeria,6.9218815,3.6351897
Kaduna Brick And Clay Products Limited,"{""latitude"":10.4394873,""longitude"":7.5118858}",clay products in nigeria,10.4394873,7.5118858
Kano Bricks And Clay Products Limited,"{""latitude"":11.9680932,""longitude"":8.519974699999999}",clay products in nigeria,11.9680932,8.5199747
Kotec Brick Tiles,"{""latitude"":5.4826817,""longitude"":7.005691199999999}",brick in nigeria,5.4826817,7.0056912
KOTEK BRICK TILES,"{""latitude"":6.4543218,""longitude"":7.5303135999999995}",brick in nigeria,6.4543218,7.5303136
KOTEK BRICK TILES,"{""latitude"":9.076425,""longitude"":7.3985677999999995}",brick in nigeria,9.076425,7.3985678
Limult Bricks,"{""latitude"":6.263619299999999,""longitude"":7.1251698999999995}",brick in nigeria,6.2636193,7.1251699
Liquid Bricks,"{""latitude"":6.450272,""longitude"":3.3940069999999998}",brick in nigeria,6.450272,3.394007
MY OKA CLAY PRODUCTS,"{""latitude"":10.5143717,""longitude"":7.4289597}",clay products in nigeria,10.5143717,7.4289597
Pottery by Ablesworth,"{""latitude"":6.435298599999999,""longitude"":3.4799276999999997}",clay products in nigeria,6.4352986,3.4799277
Red Brick Market,"{""latitude"":9.131712499999999,""longitude"":7.390828099999999}",brick in nigeria,9.1317125,7.3908281
Red Bricks,"{""latitude"":6.5167258,""longitude"":3.3983295}",brick in nigeria,6.5167258,3.3983295
Red Bricks,"{""latitude"":10.5295752,""longitude"":7.4495398999999995}",brick in nigeria,10.5295752,7.4495399
Rolling Bricks,"{""latitude"":9.093730599999999,""longitude"":7.4987211}",brick in nigeria,9.0937306,7.4987211
Rolling Bricks Limited,"{""latitude"":9.093145699999999,""longitude"":7.477351199999999}",brick in nigeria,9.0931457,7.4773512
Shelter Clay Products,"{""latitude"":9.7876897,""longitude"":4.356236}",clay products in nigeria,9.7876897,4.356236
Shelter Clay Products Limited,"{""latitude"":9.0830938,""longitude"":7.4729464}",clay products in nigeria,9.0830938,7.4729464
STONEBRICKS HUB,"{""latitude"":9.1023341,""longitude"":7.4975549}",brick in nigeria,9.1023341,7.4975549
The Bricks Real Estate Ltd,"{""latitude"":6.4378049,""longitude"":3.5166147999999997}",brick in nigeria,6.4378049,3.5166148
THE COALESCE by Rolling Bricks,"{""latitude"":9.1244035,""longitude"":7.424716}",brick in nigeria,9.1244035,7.424716
Ushafa Pottery,"{""latitude"":9.2159821,""longitude"":7.412426399999999}",clay products in nigeria,9.2159821,7.4124264
Waterock Abuja,"{""latitude"":9.0494984,""longitude"":7.507152499999999}",brick in nigeria,9.0494984,7.5071525
