iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
COD,agriculture,enteric-fermentation-other,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,26009.5,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,728266.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,2184798.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,26022.699999999997,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,728635.5999999999,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,2185906.8,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,26044.8,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,729254.4,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,2187763.1999999997,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,26073.6,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,730060.7999999999,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,2190182.4,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,26118.4,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,731315.2000000001,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,2193945.6,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,26132.7,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,731715.6,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,2195146.8000000003,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,26132.7,tonnes,,2023-10-23 11:43:08.395355,2023-10-23 17:49:50.51614
COD,agriculture,enteric-fermentation-other,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,731715.6,tonnes,,2023-10-23 11:43:08.395355,2023-10-23 17:49:50.51614
COD,agriculture,enteric-fermentation-other,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,2195146.8000000003,tonnes,,2023-10-23 11:43:08.395355,2023-10-23 17:49:50.51614
COD,agriculture,enteric-fermentation-other,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,26132.7,tonnes,,2023-10-23 11:43:08.395355,2023-10-23 17:49:43.586276
COD,agriculture,enteric-fermentation-other,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,
COD,agriculture,enteric-fermentation-other,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,731715.6,tonnes,,2023-10-23 11:43:08.395355,2023-10-23 17:49:43.586276
COD,agriculture,enteric-fermentation-other,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,2195146.8000000003,tonnes,,2023-10-23 11:43:08.395355,2023-10-23 17:49:43.586276
COD,agriculture,enteric-fermentation-other,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-23 11:43:08.395355,
