iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
COD,agriculture,manure-left-on-pasture-cattle,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,905.940000163392,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,394433.66368365503,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,442992.0476924128,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,1354.54980102275,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,941.987001917325,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,410128.0251348271,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,460618.5284375957,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,1408.44680836145,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,975.568000233732,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,424748.72520104295,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,477039.17001357104,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,1458.65668716002,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,1033.29399967566,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,449881.8219579817,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,505266.3803405971,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,1544.96785775386,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,1094.05199999642,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,476335.0097509217,tonnes,annual,2023-10-18 00:00:00,
COD,agriculture,manure-left-on-pasture-cattle,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,534976.1969507297,tonnes,annual,2023-10-18 00:00:00,
