iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
COD,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.068375,
COD,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,-2063418060.085009,tonnes,annual,2023-10-03 21:10:31.068365,
COD,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,-2063418060.085009,tonnes,annual,2023-10-03 21:10:31.068391,
COD,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,-2063418060.085009,tonnes,annual,2023-10-03 21:10:31.0684,
COD,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.068382,
COD,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.213999,
COD,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,-2361995961.962471,tonnes,annual,2023-10-03 21:10:31.213989,
COD,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,-2361995961.962471,tonnes,annual,2023-10-03 21:10:31.214015,
COD,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,-2361995961.962471,tonnes,annual,2023-10-03 21:10:31.214023,
COD,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.214006,
COD,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.36271,
COD,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,-2185950246.960885,tonnes,annual,2023-10-03 21:10:31.362694,
COD,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,-2185950246.960885,tonnes,annual,2023-10-03 21:10:31.362737,
COD,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,-2185950246.960885,tonnes,annual,2023-10-03 21:10:31.36275,
COD,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.362722,
COD,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.529011,
COD,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,-1772858601.14613,tonnes,annual,2023-10-03 21:10:31.528992,
COD,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,-1772858601.14613,tonnes,annual,2023-10-03 21:10:31.529026,
COD,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,-1772858601.14613,tonnes,annual,2023-10-03 21:10:31.529034,
COD,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.529018,
COD,forestry-and-land-use,removals,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.6866,
COD,forestry-and-land-use,removals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,-2082000729.005595,tonnes,annual,2023-10-03 21:10:31.686591,
COD,forestry-and-land-use,removals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,-2082000729.005595,tonnes,annual,2023-10-03 21:10:31.686616,
COD,forestry-and-land-use,removals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,-2082000729.005595,tonnes,annual,2023-10-03 21:10:31.686624,
COD,forestry-and-land-use,removals,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.686607,
COD,forestry-and-land-use,removals,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.830517,
COD,forestry-and-land-use,removals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,-2163760088.392999,tonnes,annual,2023-10-03 21:10:31.830507,
COD,forestry-and-land-use,removals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,-2163760088.392999,tonnes,annual,2023-10-03 21:10:31.830532,
COD,forestry-and-land-use,removals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,-2163760088.392999,tonnes,annual,2023-10-03 21:10:31.83054,
COD,forestry-and-land-use,removals,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.830524,
COD,forestry-and-land-use,removals,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:32.010563,
COD,forestry-and-land-use,removals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,-2016757561.5875251,tonnes,annual,2023-10-03 21:10:32.010545,
COD,forestry-and-land-use,removals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,-2016757561.5875251,tonnes,annual,2023-10-03 21:10:32.010597,
COD,forestry-and-land-use,removals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,-2016757561.5875251,tonnes,annual,2023-10-03 21:10:32.010614,
COD,forestry-and-land-use,removals,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:32.010579,
COD,forestry-and-land-use,removals,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:32.193791,
COD,forestry-and-land-use,removals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,-1497025051.790668,tonnes,annual,2023-10-03 21:10:32.193778,
COD,forestry-and-land-use,removals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,-1497025051.790668,tonnes,annual,2023-10-03 21:10:32.193822,
COD,forestry-and-land-use,removals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,-1497025051.790668,tonnes,annual,2023-10-03 21:10:32.193836,
COD,forestry-and-land-use,removals,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:32.193807,
