iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
COD,forestry-and-land-use,shrubgrass-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.439823,
COD,forestry-and-land-use,shrubgrass-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,250262237.5488281,tonnes,annual,2023-10-03 21:10:31.439814,
COD,forestry-and-land-use,shrubgrass-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,250262237.5488281,tonnes,annual,2023-10-03 21:10:31.43984,
COD,forestry-and-land-use,shrubgrass-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,250262237.5488281,tonnes,annual,2023-10-03 21:10:31.439848,
COD,forestry-and-land-use,shrubgrass-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.43983,
COD,forestry-and-land-use,shrubgrass-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.602252,
COD,forestry-and-land-use,shrubgrass-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,277825500.4882812,tonnes,annual,2023-10-03 21:10:31.602242,
COD,forestry-and-land-use,shrubgrass-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,277825500.4882812,tonnes,annual,2023-10-03 21:10:31.602268,
COD,forestry-and-land-use,shrubgrass-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,277825500.4882812,tonnes,annual,2023-10-03 21:10:31.602276,
COD,forestry-and-land-use,shrubgrass-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.602259,
COD,forestry-and-land-use,shrubgrass-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.759047,
COD,forestry-and-land-use,shrubgrass-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,251778030.3955078,tonnes,annual,2023-10-03 21:10:31.759037,
COD,forestry-and-land-use,shrubgrass-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,251778030.3955078,tonnes,annual,2023-10-03 21:10:31.759063,
COD,forestry-and-land-use,shrubgrass-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,251778030.3955078,tonnes,annual,2023-10-03 21:10:31.759071,
COD,forestry-and-land-use,shrubgrass-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.759054,
COD,forestry-and-land-use,shrubgrass-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.923078,
COD,forestry-and-land-use,shrubgrass-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,210040100.0976562,tonnes,annual,2023-10-03 21:10:31.923069,
COD,forestry-and-land-use,shrubgrass-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,210040100.0976562,tonnes,annual,2023-10-03 21:10:31.923094,
COD,forestry-and-land-use,shrubgrass-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,210040100.0976562,tonnes,annual,2023-10-03 21:10:31.923102,
COD,forestry-and-land-use,shrubgrass-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.923085,
COD,forestry-and-land-use,shrubgrass-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:32.111029,
COD,forestry-and-land-use,shrubgrass-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,239941192.6269531,tonnes,annual,2023-10-03 21:10:32.111019,
COD,forestry-and-land-use,shrubgrass-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,239941192.6269531,tonnes,annual,2023-10-03 21:10:32.111045,
COD,forestry-and-land-use,shrubgrass-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,239941192.6269531,tonnes,annual,2023-10-03 21:10:32.111053,
COD,forestry-and-land-use,shrubgrass-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:32.111036,
COD,forestry-and-land-use,shrubgrass-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:32.262179,
COD,forestry-and-land-use,shrubgrass-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,218759521.484375,tonnes,annual,2023-10-03 21:10:32.26217,
COD,forestry-and-land-use,shrubgrass-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,218759521.484375,tonnes,annual,2023-10-03 21:10:32.262194,
COD,forestry-and-land-use,shrubgrass-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,218759521.484375,tonnes,annual,2023-10-03 21:10:32.262201,
COD,forestry-and-land-use,shrubgrass-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:32.262186,
COD,forestry-and-land-use,shrubgrass-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:32.42097,
COD,forestry-and-land-use,shrubgrass-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,242097061.1572266,tonnes,annual,2023-10-03 21:10:32.420955,
COD,forestry-and-land-use,shrubgrass-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,242097061.1572266,tonnes,annual,2023-10-03 21:10:32.420986,
COD,forestry-and-land-use,shrubgrass-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,242097061.1572266,tonnes,annual,2023-10-03 21:10:32.420995,
COD,forestry-and-land-use,shrubgrass-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:32.420977,
COD,forestry-and-land-use,shrubgrass-fires,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:32.574751,
COD,forestry-and-land-use,shrubgrass-fires,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,150282775.8789062,tonnes,annual,2023-10-03 21:10:32.574742,
COD,forestry-and-land-use,shrubgrass-fires,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,150282775.8789062,tonnes,annual,2023-10-03 21:10:32.574766,
COD,forestry-and-land-use,shrubgrass-fires,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,150282775.8789062,tonnes,annual,2023-10-03 21:10:32.574774,
COD,forestry-and-land-use,shrubgrass-fires,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:32.574758,
