source_id,source_name,source_type,iso3_country,sector,subsector,start_time,end_time,lat,lon,geometry_ref,gas,emissions_quantity,temporal_granularity,activity,activity_units,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,other1,other1_def,other2,other2_def,other3,other3_def,other4,other4_def,other5,other5_def,other6,other6_def,other7,other7_def,other8,other8_def,other9,other9_def,other10,other10_def,created_date,modified_date
25491579,Koni,hydroelectricity,COD,forestry-and-land-use,water-reservoirs,2015-01-01 00:00:00,2015-12-31 00:00:00,-10.720609,27.266827,trace_27.266827_-10.720609,ch4,98.95456,annual,3200000,T of waste,3.09233e-05,T of CH4 per m2,3200000,m2,1,,,,,,,,,,,,,,,,,,,,,2023-11-01 00:00:00,2023-11-02 17:00:00
25491579,Koni,hydroelectricity,COD,forestry-and-land-use,water-reservoirs,2015-01-01 00:00:00,2015-12-31 00:00:00,-10.720609,27.266827,trace_27.266827_-10.720609,co2,0.0,annual,3200000,T of waste,0.0,T of CO2 per m2,3200000,m2,1,,,,,,,,,,,,,,,,,,,,,2023-11-01 00:00:00,2023-11-02 17:00:00
25491579,Koni,hydroelectricity,COD,forestry-and-land-use,water-reservoirs,2015-01-01 00:00:00,2015-12-31 00:00:00,-10.720609,27.266827,trace_27.266827_-10.720609,co2e_100yr,2691.564032,annual,3200000,T of waste,,,3200000,m2,1,,,,,,,,,,,,,,,,,,,,,2023-11-01 00:00:00,2023-11-02 17:00:00
25491579,Koni,hydroelectricity,COD,forestry-and-land-use,water-reservoirs,2015-01-01 00:00:00,2015-12-31 00:00:00,-10.720609,27.266827,trace_27.266827_-10.720609,co2e_20yr,7995.528448000001,annual,3200000,T of waste,,,3200000,m2,1,,,,,,,,,,,,,,,,,,,,,2023-11-01 00:00:00,2023-11-02 17:00:00
25491579,Koni,hydroelectricity,COD,forestry-and-land-use,water-reservoirs,2015-01-01 00:00:00,2015-12-31 00:00:00,-10.720609,27.266827,trace_27.266827_-10.720609,n2o,,annual,3200000,T of waste,,T of N2O per m2,3200000,m2,1,,,,,,,,,,,,,,,,,,,,,2023-11-01 00:00:00,2023-11-02 17:00:00
25491579,Koni,hydroelectricity,COD,forestry-and-land-use,water-reservoirs,2016-01-01 00:00:00,2016-12-31 00:00:00,-10.720609,27.266827,trace_27.266827_-10.720609,ch4,98.95456,annual,3200000,T of waste,3.09233e-05,T of CH4 per m2,3200000,m2,1,,,,,,,,,,,,,,,,,,,,,2023-11-01 00:00:00,2023-11-02 17:00:00
25491579,Koni,hydroelectricity,COD,forestry-and-land-use,water-reservoirs,2016-01-01 00:00:00,2016-12-31 00:00:00,-10.720609,27.266827,trace_27.266827_-10.720609,co2,0.0,annual,3200000,T of waste,0.0,T of CO2 per m2,3200000,m2,1,,,,,,,,,,,,,,,,,,,,,2023-11-01 00:00:00,2023-11-02 17:00:00
25491579,Koni,hydroelectricity,COD,forestry-and-land-use,water-reservoirs,2016-01-01 00:00:00,2016-12-31 00:00:00,-10.720609,27.266827,trace_27.266827_-10.720609,co2e_100yr,2691.564032,annual,3200000,T of waste,,,3200000,m2,1,,,,,,,,,,,,,,,,,,,,,2023-11-01 00:00:00,2023-11-02 17:00:00
25491579,Koni,hydroelectricity,COD,forestry-and-land-use,water-reservoirs,2016-01-01 00:00:00,2016-12-31 00:00:00,-10.720609,27.266827,trace_27.266827_-10.720609,co2e_20yr,7995.528448000001,annual,3200000,T of waste,,,3200000,m2,1,,,,,,,,,,,,,,,,,,,,,2023-11-01 00:00:00,2023-11-02 17:00:00
25491579,Koni,hydroelectricity,COD,forestry-and-land-use,water-reservoirs,2016-01-01 00:00:00,2016-12-31 00:00:00,-10.720609,27.266827,trace_27.266827_-10.720609,n2o,,annual,3200000,T of waste,,T of N2O per m2,3200000,m2,1,,,,,,,,,,,,,,,,,,,,,2023-11-01 00:00:00,2023-11-02 17:00:00
