iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,12400.6066944551,tonnes,annual,2023-10-10 22:40:44.388582,2023-10-27 23:15:06.835991
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,405193.719536372,tonnes,annual,2023-10-10 22:40:44.388572,2023-10-27 23:15:06.835991
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,774731.7990311339,tonnes,annual,2023-10-10 22:40:44.388603,2023-11-09 22:35:16.13567
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,1428243.7718289176,tonnes,annual,2023-10-10 22:40:44.388612,2023-10-27 23:15:06.835991
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.388593,
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,14282.148426842572,tonnes,annual,2023-10-10 22:40:44.438504,2023-10-27 23:15:09.389772
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,440458.0454066759,tonnes,annual,2023-10-10 22:40:44.438493,2023-10-27 23:15:09.389772
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,866066.0685265845,tonnes,annual,2023-10-10 22:40:44.438526,2023-11-09 22:35:18.479222
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,1618735.290621188,tonnes,annual,2023-10-10 22:40:44.438534,2023-10-27 23:15:09.389772
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.438516,
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,7427.460432855227,tonnes,annual,2023-10-10 22:40:44.491203,2023-10-27 23:15:09.480419
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,279704.4186902349,tonnes,annual,2023-10-10 22:40:44.491193,2023-10-27 23:15:09.480419
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,501042.7395893207,tonnes,annual,2023-10-10 22:40:44.491224,2023-11-09 22:35:18.555537
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,892469.9044007912,tonnes,annual,2023-10-10 22:40:44.491232,
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.491214,
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,9446.59491216828,tonnes,annual,2023-10-10 22:40:44.545214,2023-10-27 23:15:09.57033
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,367503.5914973895,tonnes,annual,2023-10-10 22:40:44.545203,2023-10-27 23:15:09.57033
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,649012.1198800042,tonnes,annual,2023-10-10 22:40:44.545234,2023-11-09 22:35:18.620909
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,1146847.6717512722,tonnes,annual,2023-10-10 22:40:44.545243,2023-10-27 23:15:09.57033
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.545225,
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,13830.688649017427,tonnes,annual,2023-10-10 22:40:44.600304,2023-10-27 23:15:09.731119
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,478295.04604883207,tonnes,annual,2023-10-10 22:40:44.600293,2023-10-27 23:15:09.731119
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,890449.5677895515,tonnes,annual,2023-10-10 22:40:44.600324,2023-11-09 22:35:18.754762
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,1619326.85959277,tonnes,annual,2023-10-10 22:40:44.600332,2023-10-27 23:15:09.731119
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.600314,
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,13923.082946897615,tonnes,annual,2023-10-10 22:40:44.655333,2023-10-27 23:15:09.806369
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,458454.3293853878,tonnes,annual,2023-10-10 22:40:44.655322,2023-10-27 23:15:09.806369
COD,fossil-fuel-operations,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,873362.2012029368,tonnes,annual,2023-10-10 22:40:44.655354,2023-11-09 22:35:18.827056
