iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
COD,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.470969,
COD,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,,tonnes,annual,2023-10-12 17:27:07.470958,
COD,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-12 17:27:07.470986,
COD,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-12 17:27:07.470995,
COD,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.470977,
COD,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.616515,
COD,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,,tonnes,annual,2023-10-12 17:27:07.616504,
COD,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-12 17:27:07.616532,
COD,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-12 17:27:07.616541,
COD,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.616523,
COD,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.768323,
COD,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,,tonnes,annual,2023-10-12 17:27:07.768312,
COD,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-12 17:27:07.768348,
COD,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-12 17:27:07.768357,
COD,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.768339,
COD,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.924416,
COD,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,,tonnes,annual,2023-10-12 17:27:07.924405,
COD,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-12 17:27:07.924433,
COD,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-12 17:27:07.924442,
COD,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.924424,
COD,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.076491,
