iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
COD,mineral-extraction,bauxite-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.369023,
COD,mineral-extraction,bauxite-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:31.36901,
COD,mineral-extraction,bauxite-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,tonnes,annual,2023-10-03 21:10:31.369043,
COD,mineral-extraction,bauxite-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,0.0,tonnes,annual,2023-10-03 21:10:31.369054,
COD,mineral-extraction,bauxite-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.369035,
COD,mineral-extraction,bauxite-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.369575,
COD,mineral-extraction,bauxite-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:31.369562,
COD,mineral-extraction,bauxite-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,tonnes,annual,2023-10-03 21:10:31.369593,
COD,mineral-extraction,bauxite-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,0.0,tonnes,annual,2023-10-03 21:10:31.369604,
COD,mineral-extraction,bauxite-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.369584,
COD,mineral-extraction,bauxite-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.370272,
COD,mineral-extraction,bauxite-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:31.370258,
COD,mineral-extraction,bauxite-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,tonnes,annual,2023-10-03 21:10:31.370289,
COD,mineral-extraction,bauxite-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,0.0,tonnes,annual,2023-10-03 21:10:31.370297,
COD,mineral-extraction,bauxite-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.370281,
COD,mineral-extraction,bauxite-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.370849,
COD,mineral-extraction,bauxite-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:31.370835,
COD,mineral-extraction,bauxite-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,tonnes,annual,2023-10-03 21:10:31.370873,
COD,mineral-extraction,bauxite-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,0.0,tonnes,annual,2023-10-03 21:10:31.370881,
