source_id,source_name,iso3_country,sector,subsector,start_time,end_time,source_type,capacity,capacity_factor,activity,co2_emissions_factor,ch4_emissions_factor,n2o_emissions_factor,co2_emissions,ch4_emissions,n2o_emissions,total_co2e_20yrgwp,created_date,modified_date,total_co2e_100yrgwp
25486634,Bisie Mine,COD,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486635,Deziwa Mine,COD,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486636,Dikulushi Mine,COD,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486637,Dikuluwe-Mashamba Complex,COD,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,low,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486638,Etoile Mine,COD,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486639,Frontier Mine,COD,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,low,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486662,KOV Mine,COD,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,low,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486640,Kabolela Mine,COD,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-30 00:00:00,2023-11-06 11:20:00,high
25486641,Kakanda Mine,COD,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-30 00:00:00,2023-11-06 11:20:00,high
25486642,Kakula Mine,COD,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486643,Kalabi Mine,COD,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-30 00:00:00,2023-11-06 11:20:00,high
25486644,Kalukundi Mine,COD,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486645,Kamatanda Mine,COD,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486646,Kambove Complex,COD,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486647,Kambove Principal Mine,COD,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-30 00:00:00,2023-11-06 11:20:00,high
