source_id,source_name,iso3_country,sector,subsector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
25486634,Bisie Mine,COD,mineral-extraction,copper-mining,-1.038072,27.743952,trace_27.743952_-1.038072,owner,JCHX Mining Management,100001012734.0,100.0,JCHX Mining Management,100001012734,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.276087,,,{7061}
25486635,Deziwa Mine,COD,mineral-extraction,copper-mining,-10.785628,25.767493,trace_25.767493_-10.785628,owner,Sino-Congolaise des Mines,100001012735.0,100.0,Sino-Congolaise des Mines,100001012735,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.276108,,,{7061}
25486636,Dikulushi Mine,COD,mineral-extraction,copper-mining,-8.89308,28.270668,trace_28.270668_-8.89308,owner,Shalina Resources,100001012736.0,100.0,Shalina Resources,100001012736,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.27613,,,{7061}
25486637,Dikuluwe-Mashamba Complex,COD,mineral-extraction,copper-mining,-10.742402,25.369888,trace_25.369888_-10.742402,owner,Eurasian Resources Group,100000000689.0,100.0,Eurasian Resources Group,100000000689,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.276154,,,"{6256,7061}"
25486639,Frontier Mine,COD,mineral-extraction,copper-mining,-12.73356936,28.47545856,trace_28.47545856_-12.73356936,owner,Eurasian Resources Group,100000000689.0,100.0,Eurasian Resources Group,100000000689,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.276179,,,"{6256,7061}"
25486640,Kabolela Mine,COD,mineral-extraction,copper-mining,-10.844071,26.477366,trace_26.477366_-10.844071,owner,Ivanhoe Mines & Zijin Mining Group,100001012737.0,100.0,Ivanhoe Mines & Zijin Mining Group,100001012737,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.276202,,,{7061}
25486642,Kakula Mine,COD,mineral-extraction,copper-mining,-10.885618,25.197363,trace_25.197363_-10.885618,owner,Eurasian Resources Group,100000000689.0,100.0,Eurasian Resources Group,100000000689,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.276226,,,"{6256,7061}"
25486643,Kalabi Mine,COD,mineral-extraction,copper-mining,-10.78111,26.7425,trace_26.7425_-10.78111,owner,Gecamines,100000120487.0,100.0,Gecamines,100000120487,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.276257,,,{7061}
25486644,Kalukundi Mine,COD,mineral-extraction,copper-mining,-10.623521,25.897255,trace_25.897255_-10.623521,owner,Gecamines,100000120487.0,100.0,Gecamines,100000120487,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.276278,,,{7061}
25486645,Kamatanda Mine,COD,mineral-extraction,copper-mining,-10.9533,26.773329,trace_26.773329_-10.9533,owner,Gecamines,100000120487.0,100.0,Gecamines,100000120487,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.276299,,,{7061}
