iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
COD,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.785395,
COD,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,255000.0,tonnes,annual,2023-10-03 21:10:38.785383,
COD,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,255000.0,tonnes,annual,2023-10-03 21:10:38.785422,
COD,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,255000.0,tonnes,annual,2023-10-03 21:10:38.785429,
COD,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.785404,
COD,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.785924,
COD,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,268000.0,tonnes,annual,2023-10-03 21:10:38.78591,
COD,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,268000.0,tonnes,annual,2023-10-03 21:10:38.78594,
COD,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,268000.0,tonnes,annual,2023-10-03 21:10:38.785947,
COD,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.785932,
COD,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.786442,
COD,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,267000.0,tonnes,annual,2023-10-03 21:10:38.78643,
COD,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,267000.0,tonnes,annual,2023-10-03 21:10:38.786459,
COD,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,267000.0,tonnes,annual,2023-10-03 21:10:38.786466,
COD,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.786451,
COD,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.786954,
COD,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,288000.0,tonnes,annual,2023-10-03 21:10:38.786942,
COD,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,288000.0,tonnes,annual,2023-10-03 21:10:38.78697,
COD,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,288000.0,tonnes,annual,2023-10-03 21:10:38.786978,
COD,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.786962,
COD,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.787479,
COD,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,388000.0,tonnes,annual,2023-10-03 21:10:38.78746,
COD,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,388000.0,tonnes,annual,2023-10-03 21:10:38.787495,
COD,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,388000.0,tonnes,annual,2023-10-03 21:10:38.787502,
COD,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.787487,
COD,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.787998,
COD,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,307000.0,tonnes,annual,2023-10-03 21:10:38.787986,
COD,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,307000.0,tonnes,annual,2023-10-03 21:10:38.788015,
COD,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,307000.0,tonnes,annual,2023-10-03 21:10:38.788023,
COD,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.788007,
COD,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.788531,
COD,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,321000.0,tonnes,annual,2023-10-03 21:10:38.788519,
COD,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,321000.0,tonnes,annual,2023-10-03 21:10:38.788547,
COD,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,321000.0,tonnes,annual,2023-10-03 21:10:38.788554,
COD,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.788539,
COD,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.789046,
COD,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,321000.0,tonnes,annual,2023-10-03 21:10:38.789034,
COD,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,321000.0,tonnes,annual,2023-10-03 21:10:38.789063,
COD,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,321000.0,tonnes,annual,2023-10-03 21:10:38.78907,
COD,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.789055,
