iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
COD,transportation,domestic-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,0.485212864487171,tonnes,annual,2023-10-03 21:10:38.05516,
COD,transportation,domestic-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,69222.24161532629,tonnes,annual,2023-10-03 21:10:38.055144,
COD,transportation,domestic-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,69766.553406708,tonnes,annual,2023-10-03 21:10:38.055177,
COD,transportation,domestic-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,69792.12412466647,tonnes,annual,2023-10-03 21:10:38.055186,
COD,transportation,domestic-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,1.9408514579486995,tonnes,annual,2023-10-03 21:10:38.055167,2024-02-27 18:49:11.422208
COD,transportation,domestic-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,0.3554040794675167,tonnes,annual,2023-10-03 21:10:38.207149,
COD,transportation,domestic-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,50703.24564863968,tonnes,annual,2023-10-03 21:10:38.207139,2024-02-27 18:49:14.465741
COD,transportation,domestic-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,51101.93794498635,tonnes,annual,2023-10-03 21:10:38.207165,
COD,transportation,domestic-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,51120.66773997429,tonnes,annual,2023-10-03 21:10:38.207173,2024-02-27 18:49:14.465741
COD,transportation,domestic-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,1.4216163178700816,tonnes,annual,2023-10-03 21:10:38.207157,
COD,transportation,domestic-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,0.4080210990407082,tonnes,annual,2023-10-03 21:10:38.363945,
COD,transportation,domestic-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,58209.7820753346,tonnes,annual,2023-10-03 21:10:38.363933,
COD,transportation,domestic-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,58667.50014423847,tonnes,annual,2023-10-03 21:10:38.363962,
COD,transportation,domestic-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,58689.00285615792,tonnes,annual,2023-10-03 21:10:38.36397,
COD,transportation,domestic-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,1.6320843961628546,tonnes,annual,2023-10-03 21:10:38.363953,
COD,transportation,domestic-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,0.5819427440004364,tonnes,annual,2023-10-03 21:10:38.51983,
COD,transportation,domestic-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,83022.07995672223,tonnes,annual,2023-10-03 21:10:38.51982,
COD,transportation,domestic-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,83674.90332694192,tonnes,annual,2023-10-03 21:10:38.519846,
COD,transportation,domestic-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,83705.57170955074,tonnes,annual,2023-10-03 21:10:38.519854,
COD,transportation,domestic-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,2.327770976001762,tonnes,annual,2023-10-03 21:10:38.519837,
