iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
COD,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.380268,
COD,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,43872.40146133091,tonnes,annual,2023-10-10 21:31:23.380253,
COD,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,43872.40146133091,tonnes,annual,2023-10-10 21:31:23.380287,
COD,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,43872.40146133091,tonnes,annual,2023-10-10 21:31:23.380294,
COD,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.380277,
COD,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.380959,
COD,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,17314.883046795487,tonnes,annual,2023-10-10 21:31:23.380945,
COD,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,17314.883046795487,tonnes,annual,2023-10-10 21:31:23.380977,
COD,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,17314.883046795487,tonnes,annual,2023-10-10 21:31:23.380985,
COD,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.380968,
COD,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.381649,
COD,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,16017.20157590875,tonnes,annual,2023-10-10 21:31:23.381635,
COD,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,16017.20157590875,tonnes,annual,2023-10-10 21:31:23.381668,
COD,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,16017.20157590875,tonnes,annual,2023-10-10 21:31:23.381676,
COD,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.381658,
COD,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.382346,
COD,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,11230.9662471038,tonnes,annual,2023-10-10 21:31:23.382329,
COD,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,11230.9662471038,tonnes,annual,2023-10-10 21:31:23.382364,
COD,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,11230.9662471038,tonnes,annual,2023-10-10 21:31:23.382372,
COD,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.382356,
COD,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.383043,
COD,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,23364.812990576036,tonnes,annual,2023-10-10 21:31:23.383015,
COD,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,23364.812990576036,tonnes,annual,2023-10-10 21:31:23.383066,
COD,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,23364.812990576036,tonnes,annual,2023-10-10 21:31:23.383074,
COD,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.383056,
COD,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.383731,
COD,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,39297.86483380402,tonnes,annual,2023-10-10 21:31:23.383714,
COD,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,39297.86483380402,tonnes,annual,2023-10-10 21:31:23.38375,
COD,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,39297.86483380402,tonnes,annual,2023-10-10 21:31:23.383758,
COD,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.383741,
COD,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.384416,
COD,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,45783.58229406714,tonnes,annual,2023-10-10 21:31:23.384401,
COD,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,45783.58229406714,tonnes,annual,2023-10-10 21:31:23.384434,
COD,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,45783.58229406714,tonnes,annual,2023-10-10 21:31:23.384441,
COD,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.384424,
COD,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.385094,
COD,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,50851.05481502607,tonnes,annual,2023-10-10 21:31:23.38508,
COD,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,50851.05481502607,tonnes,annual,2023-10-10 21:31:23.385113,
COD,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,50851.05481502607,tonnes,annual,2023-10-10 21:31:23.385121,
COD,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.385104,
COD,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.385769,
COD,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,72760.6407954453,tonnes,annual,2023-10-10 21:31:23.385755,
COD,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,72760.6407954453,tonnes,annual,2023-10-10 21:31:23.385787,
COD,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_20yr,72760.6407954453,tonnes,annual,2023-10-10 21:31:23.385794,
COD,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.385778,
