source_id,source_name,iso3_country,sector,subsector,start_time,end_time,source_type,capacity,capacity_factor,activity,co2_emissions_factor,ch4_emissions_factor,n2o_emissions_factor,co2_emissions,ch4_emissions,n2o_emissions,total_co2e_20yrgwp,created_date,modified_date,total_co2e_100yrgwp
116921,Aketi Urban Area in Aketi (ville) Town,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
116921,Aketi Urban Area in Aketi (ville) Town,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
115012,Ankoro Urban Area in Manono Territory,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
115012,Ankoro Urban Area in Manono Territory,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
117595,Ariwara Urban Area in Ariwara Town,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
117595,Ariwara Urban Area in Ariwara Town,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
116219,Ariwara Urban Area in Aru Territory,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
116219,Ariwara Urban Area in Aru Territory,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
114955,Aru Urban Area in Aru (ville) Town,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
114955,Aru Urban Area in Aru (ville) Town,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
120313,Aru Urban Area in Aru Territory,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
120313,Aru Urban Area in Aru Territory,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
118545,Banalia Urban Area in Banalia Territory,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
118545,Banalia Urban Area in Banalia Territory,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
110328,Bandundu Urban Area in Bandundu Territory,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
110328,Bandundu Urban Area in Bandundu Territory,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
119400,Bandundu Urban Area in Kwamouth Territory,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
119400,Bandundu Urban Area in Kwamouth Territory,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
118193,Bangui Urban Area in Zongo Territory,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
118193,Bangui Urban Area in Zongo Territory,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
119325,Baraka Urban Area in Baraka Town,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
119325,Baraka Urban Area in Baraka Town,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
112879,Baraka Urban Area in Fizi Territory,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
112879,Baraka Urban Area in Fizi Territory,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
114652,Basankusu Urban Area in Basankusu (ville) Town,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
114652,Basankusu Urban Area in Basankusu (ville) Town,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
115445,Bena-Leka Urban Area in Demba Territory,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
115445,Bena-Leka Urban Area in Demba Territory,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
107273,Beni Urban Area in Beni Territory,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
107273,Beni Urban Area in Beni Territory,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
117456,Boende Urban Area in Boende Territory,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
117456,Boende Urban Area in Boende Territory,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
110305,Boma Urban Area in Boma Territory,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
110305,Boma Urban Area in Boma Territory,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
108137,Bukavu Urban Area in Bukavu Town,COD,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
108137,Bukavu Urban Area in Bukavu Town,COD,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
