iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
COD,waste,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,2059.594216,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:29.698189
COD,waste,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
COD,waste,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,57668.638048,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:29.698189
COD,waste,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,173005.914144,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:29.698189
COD,waste,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
COD,waste,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,2127.220432,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:22.871982
COD,waste,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
COD,waste,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,59562.172096,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:22.871982
COD,waste,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,178686.516288,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:22.871982
COD,waste,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
COD,waste,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,2196.8957840000003,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.99654
COD,waste,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
COD,waste,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,61513.08195200001,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.99654
COD,waste,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,184539.245856,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.99654
COD,waste,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
COD,waste,incineration-and-open-burning-of-waste,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,2268.63173,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.492789
COD,waste,incineration-and-open-burning-of-waste,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
COD,waste,incineration-and-open-burning-of-waste,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,63521.68844,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.492789
COD,waste,incineration-and-open-burning-of-waste,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,190565.06532,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.492789
COD,waste,incineration-and-open-burning-of-waste,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
COD,waste,incineration-and-open-burning-of-waste,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,2306.713609,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.726325
COD,waste,incineration-and-open-burning-of-waste,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
COD,waste,incineration-and-open-burning-of-waste,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,64587.981052,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.726325
COD,waste,incineration-and-open-burning-of-waste,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,193763.943156,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.726325
COD,waste,incineration-and-open-burning-of-waste,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
COD,waste,incineration-and-open-burning-of-waste,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,2345.43474,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.647856
COD,waste,incineration-and-open-burning-of-waste,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
COD,waste,incineration-and-open-burning-of-waste,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,65672.17272,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.647856
COD,waste,incineration-and-open-burning-of-waste,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,197016.51816,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.647856
COD,waste,incineration-and-open-burning-of-waste,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
COD,waste,incineration-and-open-burning-of-waste,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,2402.602845,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:49.060552
COD,waste,incineration-and-open-burning-of-waste,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
