source_id,source_name,iso3_country,sector,subsector,start_time,end_time,source_type,capacity,capacity_factor,activity,co2_emissions_factor,ch4_emissions_factor,n2o_emissions_factor,co2_emissions,ch4_emissions,n2o_emissions,total_co2e_20yrgwp,created_date,modified_date,total_co2e_100yrgwp
25772397,Mpasa Landfill,COD,waste,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25772397,Mpasa Landfill,COD,waste,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25773878,OpenStreetMap Landfill,COD,waste,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,,,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25773878,OpenStreetMap Landfill,COD,waste,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,,,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25773879,OpenStreetMap Landfill,COD,waste,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,,,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25773879,OpenStreetMap Landfill,COD,waste,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,,,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25773880,OpenStreetMap Landfill,COD,waste,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,,,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25773880,OpenStreetMap Landfill,COD,waste,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,,,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25773881,OpenStreetMap Landfill,COD,waste,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,,,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25773881,OpenStreetMap Landfill,COD,waste,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,,,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25773882,OpenStreetMap Landfill,COD,waste,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,,,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25773882,OpenStreetMap Landfill,COD,waste,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,,,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
