id,name,lat,lon,type, fuel,region,country,status,capacity,emfpm10,pm10,emfpm25,pm25,emfso2,so2,emfnox,nox
CMC-1,,-4.593023,12.048903,Integrated,,Kouilou,Congo,Operating,,,,,,,,,
CMC-2,,-4.243281,14.363071,Integrated,,Pool,Congo,Operating,,,,,,,,,
CMC-3,,-4.289625,13.857125,Integrated,,Bouenza,Congo,Operating,,,,,,,,,
CMC-4,,-4.164698,12.614788,Integrated,,Niari,Congo,Operating,,,,,,,,,
CMG-5,,5.704645,0.017442,Integrated,,Greater Accra Region,Ghana,Operating,,,,,,,,,
CMG-6,,5.621991,-0.014344,Grinding,,Greater Accra Region,Ghana,Operating,,,,,,,,,
CMG-7,,4.891983,-1.745828,Integrated,,n/a,Ghana,Operating,,,,,,,,,
CMG-8,,5.637128,0.007768,Grinding,,Greater Accra Region,Ghana,Operating,,,,,,,,,
CMG-9,,8.790301,-1.502071,Integrated,,Northern Region,Ghana,Operating,,,,,,,,,
CMG-10,,6.15335,1.179772,Grinding,,Volta Region,Ghana,Operating,,,,,,,,,
CMG-11,,4.885591,-1.876222,Integrated,,Western Region,Ghana,Operating,,,,,,,,,
CMN-12,,7.319348,6.365774,Integrated,,Edo,Nigeria,Operating,,,,,,,,,
CMN-13,,7.35638,6.401469,Integrated,,Edo,Nigeria,Operating,,,,,,,,,
CMN-14,,13.061804,5.171114,Integrated,,Sokoto,Nigeria,Operating,,,,,,,,,
CMN-15,,7.411613,8.975232,Integrated,,Benue,Nigeria,Operating,,,,,,,,,
CMN-16,,7.006077,3.047604,Integrated,,Ogun State,Nigeria,Operating,,,,,,,,,
CMN-17,,7.927327,6.425156,Integrated,,Kogi,Nigeria,Operating,,,,,,,,,
CMN-18,,10.929985,11.477114,Integrated,,Gombe,Nigeria,Operating,,,,,,,,,
CMN-19,,6.893522,3.205342,Integrated,,Ogun State,Nigeria,Operating,,,,,,,,,
CMN-20,,6.813933,3.621188,Integrated,,Ogun State,Nigeria,Operating,,,,,,,,,
CMN-21,,6.902791,3.207143,Integrated,,Ogun State,Nigeria,Operating,,,,,,,,,
CMN-22,,4.981631,8.325949,Grinding,,Cross River,Nigeria,Under Construction,,,,,,,,,
CMU-23,,0.291484,30.181853,Integrated,,Western Region,Uganda,Operating,,,,,,,,,
CMU-24,,0.751299,34.179319,Integrated,,Eastern Region,Uganda,Operating,,,,,,,,,
CMU-25,,0.660021,34.156213,Grinding,,Eastern Region,Uganda,Operating,,,,,,,,,
CMU-26,,0.386128,32.854014,Integrated,,Central Region,Uganda,Operating,,,,,,,,,
