Database,GEM_unit_phase_ID,GEM_location_ID,Country,Wiki_URL,Plant_name,Unit_name,Plant_name__local_,Plant_name__other_,Owner,Parent,Capacity__MW_,Status,Start_year,Retired_year,Planned_retirement,Combustion_technology,Coal_type,Coal_source,Alternate_Fuel,Location,Local_area__taluk__county_,Major_area__prefecture__district_,Subnational_unit__province__state_,Subregion,Region,Latitude,Longitude,Location_accuracy,Permits__Detail_,Permits__Date_parsed_,Captive,Captive_industry_use,Captive_residential_use,Plant_age__years_,Capacity_factor____,Heat_rate__Btu_per_kWh_,Emission_factor__kg_of_CO2_per_TJ_,Annual_CO2__million_tonnes___annum_,Remaining_plant_lifetime__years_,Lifetime_CO2__million_tonnes_
October 2024 Supplement,G100000100011,L100000101997,Ghana,https://www.gem.wiki/Aboano_power_station,Aboano power station,Unit 1,Ekumfi Aboano power station,,Sunon Asogli Power Ltd [100%],Shenzhen Energy Group Co Ltd [60.0%]; China African Development Fund [40.0%],350,cancelled,,,,unknown,unknown,"Imported - South Africa, Colombia",,Otuam,Aboano,Ekumfi District,Central region,Sub-Saharan Africa,Africa,5.666667000000000,-1.000000000000000,approximate,,,,,,0,0.530000000000000,9466,96100,1.600000000000000,40,62.399999999999999
October 2024 Supplement,G100000100012,L100000101997,Ghana,https://www.gem.wiki/Aboano_power_station,Aboano power station,Unit 2,Ekumfi Aboano power station,,Sunon Asogli Power Ltd [100%],Shenzhen Energy Group Co Ltd [60.0%]; China African Development Fund [40.0%],350,cancelled,,,,unknown,unknown,"Imported - South Africa, Colombia",,Otuam,Aboano,Ekumfi District,Central region,Sub-Saharan Africa,Africa,5.666667000000000,-1.000000000000000,approximate,,,,,,0,0.530000000000000,9466,96100,1.600000000000000,40,62.399999999999999
October 2024 Supplement,G100000100013,L100000101997,Ghana,https://www.gem.wiki/Aboano_power_station,Aboano power station,Unit 3,Ekumfi Aboano power station,,Sunon Asogli Power Ltd [100%],Shenzhen Energy Group Co Ltd [60.0%]; China African Development Fund [40.0%],1400,cancelled,,,,unknown,unknown,"Imported - South Africa, Colombia",,Otuam,Aboano,Ekumfi District,Central region,Sub-Saharan Africa,Africa,5.666667000000000,-1.000000000000000,approximate,,,,,,0,0.530000000000000,8605,96100,5.700000000000000,40,226.800000000000011
October 2024 Supplement,G100000100083,L100000103099,Nigeria,https://www.gem.wiki/Agu-Amorji_power_station,Agu-Amorji power station,--,,,Minaj Holdings Ltd [100%],Minaj Holdings Ltd [100.0%],115,cancelled,,,,subcritical,unknown,,,Agu-Amorji Nike,,,Enugu,Sub-Saharan Africa,Africa,6.500000000000000,7.500000000000000,approximate,,,,,,0,0.530000000000000,10442,96100,0.600000000000000,40,22.600000000000001
October 2024 Supplement,G100000115926,L100000105014,Nigeria,https://www.gem.wiki/Ashaka_power_station,Ashaka power station,--,,,to be determined [100%],to be determined [100.0%],64,cancelled,,,,unknown,unknown,,,,,,Gombe,Sub-Saharan Africa,Africa,10.885320000000000,11.515480000000000,approximate,,,,,,0,0.530000000000000,10326,96100,0.300000000000000,40,12.400000000000000
October 2024 Supplement,G100000115923,L100000105012,Nigeria,https://www.gem.wiki/Ashaka/TPGL_power_station,Ashaka/TPGL power station,Unit 1,,,to be determined [100%],to be determined [100.0%],250,cancelled,,,,unknown,unknown,,,,,,Gombe,Sub-Saharan Africa,Africa,10.885320000000000,11.515480000000000,approximate,,,,,,0,0.530000000000000,10326,96100,1.200000000000000,40,48.600000000000001
October 2024 Supplement,G100000115924,L100000105012,Nigeria,https://www.gem.wiki/Ashaka/TPGL_power_station,Ashaka/TPGL power station,Unit 2,,,to be determined [100%],to be determined [100.0%],250,cancelled,,,,unknown,unknown,,,,,,Gombe,Sub-Saharan Africa,Africa,10.885320000000000,11.515480000000000,approximate,,,,,,0,0.530000000000000,10326,96100,1.200000000000000,40,48.600000000000001
October 2024 Supplement,G100000102664,L100000103100,Nigeria,https://www.gem.wiki/Enugu_power_station,Enugu power station,--,,,One Nation Energy Ltd [100%],One Nation Energy Ltd [100.0%],500,cancelled,,,,unknown,unknown,Enugu,,,,,Enugu,Sub-Saharan Africa,Africa,6.452667000000000,7.510333000000000,approximate,,,,,,0,0.530000000000000,8605,96100,2.000000000000000,40,81.000000000000000
October 2024 Supplement,G100000113797,L100000104371,Nigeria,https://www.gem.wiki/Enugu_power_station_(Milhouse),Enugu power station (Milhouse),--,,,Milhouse Generation [100%],Milhouse International,30,shelved,,,,unknown,unknown,Enugu,,,,,Enugu,Sub-Saharan Africa,Africa,6.452667000000000,7.510333000000000,approximate,,,,,,0,0.530000000000000,10326,96100,0.100000000000000,40,5.800000000000000
October 2024 Supplement,G100000111947,L100000103098,Nigeria,https://www.gem.wiki/Ezinmo_power_station,Ezinmo power station,Unit 1,former Benue Coal power station,,HTG-Pacific Energy [100%],HTG-Pacific Energy [100.0%],500,cancelled,,,,unknown,unknown,Ezinmo coal mine,,,,,Benue,Sub-Saharan Africa,Africa,7.333000000000000,8.750000000000000,approximate,,,,,,0,0.530000000000000,8605,96100,2.000000000000000,40,81.000000000000000
October 2024 Supplement,G100000111948,L100000103098,Nigeria,https://www.gem.wiki/Ezinmo_power_station,Ezinmo power station,Unit 2,former Benue Coal power station,,HTG-Pacific Energy [100%],HTG-Pacific Energy [100.0%],500,cancelled,,,,unknown,unknown,Ezinmo coal mine,,,,,Benue,Sub-Saharan Africa,Africa,7.333000000000000,8.750000000000000,approximate,,,,,,0,0.530000000000000,8605,96100,2.000000000000000,40,81.000000000000000
October 2024 Supplement,G100000103084,L100000103101,Nigeria,https://www.gem.wiki/Gombe_power_station,Gombe power station,--,,,Trombay Power Generation Ltd [100%],Trombay Power Generation Ltd [100.0%],500,cancelled,,,,unknown,unknown,Gombe,,,Wajari village,Yamaltu LGA,Gombe,Sub-Saharan Africa,Africa,10.216670000000001,11.383330000000001,approximate,,,,,,0,0.530000000000000,8605,96100,2.000000000000000,40,81.000000000000000
October 2024 Supplement,G100000113798,L100000103102,Nigeria,https://www.gem.wiki/Kogi_power_station,Kogi power station,Phase II,"Ogbogbo power station, Itobe power station, Zuma Coal-Fired Power Plant",,Itobe 1 Coal Power Plant Ltd [100%],Zuma Energía,1200,cancelled,,,,subcritical,unknown,Domestic (in state of Kogi),,Itobe,,,Kogi,Sub-Saharan Africa,Africa,7.547700000000000,7.309400000000000,approximate,,,,,,0,0.530000000000000,8702,96100,4.900000000000000,40,196.599999999999994
