iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
GHA,agriculture,enteric-fermentation-cattle-feedlot,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,19212.4,tonnes,annual,2023-10-03 21:10:33.910273,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:33.910261,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,522577.3000000001,tonnes,annual,2023-10-03 21:10:33.910298,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,1552361.9,tonnes,annual,2023-10-03 21:10:33.910309,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:33.910284,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,18452.5,tonnes,annual,2023-10-03 21:10:34.038199,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:34.038189,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,501908.0,tonnes,annual,2023-10-03 21:10:34.038214,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,1490962.0,tonnes,annual,2023-10-03 21:10:34.038221,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:34.038205,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,20992.800000000003,tonnes,annual,2023-10-03 21:10:34.169439,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:34.169427,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,571004.1000000001,tonnes,annual,2023-10-03 21:10:34.169461,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,1696218.2999999998,tonnes,annual,2023-10-03 21:10:34.169469,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:34.169449,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,20766.7,tonnes,annual,2023-10-03 21:10:34.286953,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:34.286943,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,564854.2,tonnes,annual,2023-10-03 21:10:34.286968,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,1677949.4,tonnes,annual,2023-10-03 21:10:34.286975,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:34.28696,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,21405.9,tonnes,annual,2023-10-03 21:10:34.409945,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:34.409935,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,582240.5,tonnes,annual,2023-10-03 21:10:34.409961,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,1729596.7,tonnes,annual,2023-10-03 21:10:34.409968,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:34.409952,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,21073.0,tonnes,annual,2023-10-03 21:10:34.529095,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:34.529085,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,573185.6,tonnes,annual,2023-10-03 21:10:34.52911,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,1702698.4,tonnes,annual,2023-10-03 21:10:34.529118,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:34.529102,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,21099.8,tonnes,annual,2023-10-03 21:10:34.649511,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:34.649502,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,573914.6000000001,tonnes,annual,2023-10-03 21:10:34.649528,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,1704863.8,tonnes,annual,2023-10-03 21:10:34.649535,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:34.649518,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,21099.8,tonnes,annual,2023-10-03 21:10:34.763628,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:34.763618,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,573914.6000000001,tonnes,annual,2023-10-03 21:10:34.763644,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,1704863.8,tonnes,annual,2023-10-03 21:10:34.763652,
GHA,agriculture,enteric-fermentation-cattle-feedlot,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:34.763634,
