iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
GHA,agriculture,enteric-fermentation-cattle-pasture,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,39207.0950520113,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1066432.985414707,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,3167933.2802025126,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,42656.2480673865,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,1160249.947432913,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,3446624.8438448287,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,42931.8379554823,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1167745.9923891183,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,3468892.5068029696,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,43855.9480403737,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,1192881.786698165,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,3543560.601662195,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,43913.7010159567,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,1194452.6676340222,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,3548227.042089301,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,43556.4880384281,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,1184736.4746452444,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,3519364.2335049906,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,43865.3409897164,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,1193137.274920286,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,3544319.551969085,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,43711.1779977157,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,1188944.041537867,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,3531863.1822154284,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,enteric-fermentation-cattle-pasture,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-18 00:00:00,
