iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
GHA,agriculture,enteric-fermentation-other,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,55299.90000000001,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1548397.2000000002,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,4645191.600000001,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,58398.7,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,1635163.6,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,4905490.8,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,61708.5,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1727838.0,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,5183514.0,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,64224.20000000001,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,1798277.6000000003,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,5394832.800000001,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,66900.90000000001,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,1873225.2,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,5619675.600000001,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,69266.90000000001,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,
GHA,agriculture,enteric-fermentation-other,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,1939473.2,tonnes,,2023-10-23 11:43:08.395355,
