iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
GHA,agriculture,manure-left-on-pasture-cattle,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,1264.74499959266,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,550652.3655330021,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,618442.6975111687,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,1891.03040858638,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,1376.00799962087,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,599094.72608983,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,672848.7548695087,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,2057.38940842543,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,1384.89800131274,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,602965.3092856777,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,677195.8421560407,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,2070.68162509147,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,1414.70800023665,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,615944.1677019321,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,691772.5165146167,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,2115.25315053295,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,1416.57100015273,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
GHA,agriculture,manure-left-on-pasture-cattle,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,616755.2926313488,tonnes,annual,2023-10-18 00:00:00,
