source_id,source_name,iso3_country,sector,subsector,start_time,end_time,source_type,capacity,capacity_factor,activity,co2_emissions_factor,ch4_emissions_factor,n2o_emissions_factor,co2_emissions,ch4_emissions,n2o_emissions,total_co2e_20yrgwp,created_date,modified_date,total_co2e_100yrgwp
5026555,Ablekuma North,GHA,forestry-and-land-use,forest-land-clearing,2016-01-01 00:00:00,2016-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026555,Ablekuma North,GHA,forestry-and-land-use,forest-land-clearing,2017-01-01 00:00:00,2017-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026555,Ablekuma North,GHA,forestry-and-land-use,forest-land-clearing,2018-01-01 00:00:00,2018-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026555,Ablekuma North,GHA,forestry-and-land-use,forest-land-clearing,2019-01-01 00:00:00,2019-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026555,Ablekuma North,GHA,forestry-and-land-use,forest-land-clearing,2020-01-01 00:00:00,2020-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026555,Ablekuma North,GHA,forestry-and-land-use,forest-land-clearing,2021-01-01 00:00:00,2021-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026555,Ablekuma North,GHA,forestry-and-land-use,forest-land-clearing,2022-01-01 00:00:00,2022-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026556,Ablekuma West,GHA,forestry-and-land-use,forest-land-clearing,2016-01-01 00:00:00,2016-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026556,Ablekuma West,GHA,forestry-and-land-use,forest-land-clearing,2017-01-01 00:00:00,2017-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026556,Ablekuma West,GHA,forestry-and-land-use,forest-land-clearing,2018-01-01 00:00:00,2018-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026556,Ablekuma West,GHA,forestry-and-land-use,forest-land-clearing,2019-01-01 00:00:00,2019-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026556,Ablekuma West,GHA,forestry-and-land-use,forest-land-clearing,2020-01-01 00:00:00,2020-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026556,Ablekuma West,GHA,forestry-and-land-use,forest-land-clearing,2021-01-01 00:00:00,2021-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026556,Ablekuma West,GHA,forestry-and-land-use,forest-land-clearing,2022-01-01 00:00:00,2022-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026522,Abuakwa North,GHA,forestry-and-land-use,forest-land-clearing,2016-01-01 00:00:00,2016-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026522,Abuakwa North,GHA,forestry-and-land-use,forest-land-clearing,2017-01-01 00:00:00,2017-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026522,Abuakwa North,GHA,forestry-and-land-use,forest-land-clearing,2018-01-01 00:00:00,2018-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026522,Abuakwa North,GHA,forestry-and-land-use,forest-land-clearing,2019-01-01 00:00:00,2019-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026522,Abuakwa North,GHA,forestry-and-land-use,forest-land-clearing,2020-01-01 00:00:00,2020-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026522,Abuakwa North,GHA,forestry-and-land-use,forest-land-clearing,2021-01-01 00:00:00,2021-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026522,Abuakwa North,GHA,forestry-and-land-use,forest-land-clearing,2022-01-01 00:00:00,2022-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026523,Abuakwa South,GHA,forestry-and-land-use,forest-land-clearing,2016-01-01 00:00:00,2016-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
5026523,Abuakwa South,GHA,forestry-and-land-use,forest-land-clearing,2017-01-01 00:00:00,2017-12-31 00:00:00,,high,,low,low,,,low,,,low,2023-11-15 00:00:00,,low
