iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
GHA,forestry-and-land-use,forest-land-degradation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.25842,
GHA,forestry-and-land-use,forest-land-degradation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,3537448.406219482,tonnes,annual,2023-10-03 21:10:31.258407,
GHA,forestry-and-land-use,forest-land-degradation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,3537448.406219482,tonnes,annual,2023-10-03 21:10:31.258439,
GHA,forestry-and-land-use,forest-land-degradation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,3537448.406219482,tonnes,annual,2023-10-03 21:10:31.25845,
GHA,forestry-and-land-use,forest-land-degradation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.258429,
GHA,forestry-and-land-use,forest-land-degradation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.429052,
GHA,forestry-and-land-use,forest-land-degradation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,10577570.91522217,tonnes,annual,2023-10-03 21:10:31.429042,
GHA,forestry-and-land-use,forest-land-degradation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,10577570.91522217,tonnes,annual,2023-10-03 21:10:31.429068,
GHA,forestry-and-land-use,forest-land-degradation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,10577570.91522217,tonnes,annual,2023-10-03 21:10:31.429087,
GHA,forestry-and-land-use,forest-land-degradation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.429059,
GHA,forestry-and-land-use,forest-land-degradation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.582957,
GHA,forestry-and-land-use,forest-land-degradation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,7882767.200469971,tonnes,annual,2023-10-03 21:10:31.582947,
GHA,forestry-and-land-use,forest-land-degradation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,7882767.200469971,tonnes,annual,2023-10-03 21:10:31.582973,
GHA,forestry-and-land-use,forest-land-degradation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,7882767.200469971,tonnes,annual,2023-10-03 21:10:31.582981,
GHA,forestry-and-land-use,forest-land-degradation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.582964,
GHA,forestry-and-land-use,forest-land-degradation,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.739377,
GHA,forestry-and-land-use,forest-land-degradation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,16388490.67687988,tonnes,annual,2023-10-03 21:10:31.739367,
GHA,forestry-and-land-use,forest-land-degradation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,16388490.67687988,tonnes,annual,2023-10-03 21:10:31.739393,
GHA,forestry-and-land-use,forest-land-degradation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,16388490.67687988,tonnes,annual,2023-10-03 21:10:31.739401,
GHA,forestry-and-land-use,forest-land-degradation,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.739384,
GHA,forestry-and-land-use,forest-land-degradation,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.903169,
GHA,forestry-and-land-use,forest-land-degradation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,5723146.438598633,tonnes,annual,2023-10-03 21:10:31.903158,
GHA,forestry-and-land-use,forest-land-degradation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,5723146.438598633,tonnes,annual,2023-10-03 21:10:31.903186,
GHA,forestry-and-land-use,forest-land-degradation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,5723146.438598633,tonnes,annual,2023-10-03 21:10:31.903194,
GHA,forestry-and-land-use,forest-land-degradation,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.903176,
GHA,forestry-and-land-use,forest-land-degradation,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:32.056345,
GHA,forestry-and-land-use,forest-land-degradation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,7856577.396392822,tonnes,annual,2023-10-03 21:10:32.056335,
GHA,forestry-and-land-use,forest-land-degradation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,7856577.396392822,tonnes,annual,2023-10-03 21:10:32.056361,
GHA,forestry-and-land-use,forest-land-degradation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,7856577.396392822,tonnes,annual,2023-10-03 21:10:32.056369,
GHA,forestry-and-land-use,forest-land-degradation,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:32.056352,
GHA,forestry-and-land-use,forest-land-degradation,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:32.215095,
GHA,forestry-and-land-use,forest-land-degradation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,939637.4225616456,tonnes,annual,2023-10-03 21:10:32.215084,
GHA,forestry-and-land-use,forest-land-degradation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,939637.4225616456,tonnes,annual,2023-10-03 21:10:32.215111,
GHA,forestry-and-land-use,forest-land-degradation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,939637.4225616456,tonnes,annual,2023-10-03 21:10:32.215119,
GHA,forestry-and-land-use,forest-land-degradation,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:32.215102,
GHA,forestry-and-land-use,forest-land-degradation,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:32.386637,
GHA,forestry-and-land-use,forest-land-degradation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,4165163.993835449,tonnes,annual,2023-10-03 21:10:32.386627,
GHA,forestry-and-land-use,forest-land-degradation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,4165163.993835449,tonnes,annual,2023-10-03 21:10:32.386653,
GHA,forestry-and-land-use,forest-land-degradation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,4165163.993835449,tonnes,annual,2023-10-03 21:10:32.386661,
GHA,forestry-and-land-use,forest-land-degradation,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:32.386644,
