iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
GHA,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.088692,
GHA,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,-48834969.741701126,tonnes,annual,2023-10-03 21:10:31.088683,
GHA,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,-48834969.741701126,tonnes,annual,2023-10-03 21:10:31.088708,
GHA,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,-48834969.741701126,tonnes,annual,2023-10-03 21:10:31.088716,
GHA,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.088699,
GHA,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.236113,
GHA,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,-132345260.22339328,tonnes,annual,2023-10-03 21:10:31.236104,
GHA,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,-132345260.22339328,tonnes,annual,2023-10-03 21:10:31.236129,
GHA,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,-132345260.22339328,tonnes,annual,2023-10-03 21:10:31.236137,
GHA,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.23612,
GHA,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.387694,
GHA,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,-90056853.40667287,tonnes,annual,2023-10-03 21:10:31.387684,
GHA,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,-90056853.40667287,tonnes,annual,2023-10-03 21:10:31.387709,
GHA,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,-90056853.40667287,tonnes,annual,2023-10-03 21:10:31.387717,
GHA,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.387701,
GHA,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.549777,
