iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
GHA,fossil-fuel-operations,coal-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,0,tonnes,annual,2023-10-03 21:10:35.908718,
GHA,fossil-fuel-operations,coal-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0,tonnes,annual,2023-10-03 21:10:35.908709,
GHA,fossil-fuel-operations,coal-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:35.908734,
GHA,fossil-fuel-operations,coal-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:35.908741,
GHA,fossil-fuel-operations,coal-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0,tonnes,annual,2023-10-03 21:10:35.908725,
GHA,fossil-fuel-operations,coal-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,0,tonnes,annual,2023-10-03 21:10:36.050677,
GHA,fossil-fuel-operations,coal-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0,tonnes,annual,2023-10-03 21:10:36.050668,
GHA,fossil-fuel-operations,coal-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:36.050692,
GHA,fossil-fuel-operations,coal-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:36.0507,
GHA,fossil-fuel-operations,coal-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0,tonnes,annual,2023-10-03 21:10:36.050684,
GHA,fossil-fuel-operations,coal-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,0,tonnes,annual,2023-10-03 21:10:36.190576,
GHA,fossil-fuel-operations,coal-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0,tonnes,annual,2023-10-03 21:10:36.190567,
GHA,fossil-fuel-operations,coal-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:36.190598,
GHA,fossil-fuel-operations,coal-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:36.190605,
GHA,fossil-fuel-operations,coal-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0,tonnes,annual,2023-10-03 21:10:36.190584,
GHA,fossil-fuel-operations,coal-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,0,tonnes,annual,2023-10-03 21:10:36.338662,
GHA,fossil-fuel-operations,coal-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0,tonnes,annual,2023-10-03 21:10:36.338653,
GHA,fossil-fuel-operations,coal-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:36.338677,
GHA,fossil-fuel-operations,coal-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:36.338684,
GHA,fossil-fuel-operations,coal-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0,tonnes,annual,2023-10-03 21:10:36.338669,
GHA,fossil-fuel-operations,coal-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,0,tonnes,annual,2023-10-03 21:10:36.478092,
GHA,fossil-fuel-operations,coal-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0,tonnes,annual,2023-10-03 21:10:36.478083,
GHA,fossil-fuel-operations,coal-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:36.478108,
GHA,fossil-fuel-operations,coal-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:36.478115,
GHA,fossil-fuel-operations,coal-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0,tonnes,annual,2023-10-03 21:10:36.4781,
GHA,fossil-fuel-operations,coal-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,0,tonnes,annual,2023-10-03 21:10:36.64189,
GHA,fossil-fuel-operations,coal-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0,tonnes,annual,2023-10-03 21:10:36.641875,
GHA,fossil-fuel-operations,coal-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:36.641917,
GHA,fossil-fuel-operations,coal-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:36.641929,
GHA,fossil-fuel-operations,coal-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,0,tonnes,annual,2023-10-03 21:10:36.641903,
GHA,fossil-fuel-operations,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,0,tonnes,annual,2023-10-03 21:10:36.860194,
GHA,fossil-fuel-operations,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0,tonnes,annual,2023-10-03 21:10:36.860184,
GHA,fossil-fuel-operations,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:36.86021,
GHA,fossil-fuel-operations,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:36.860218,
GHA,fossil-fuel-operations,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,0,tonnes,annual,2023-10-03 21:10:36.860202,
GHA,fossil-fuel-operations,coal-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,0,tonnes,annual,2023-10-03 21:10:37.015374,
GHA,fossil-fuel-operations,coal-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0,tonnes,annual,2023-10-03 21:10:37.015365,
GHA,fossil-fuel-operations,coal-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:37.01539,
GHA,fossil-fuel-operations,coal-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:37.015397,
GHA,fossil-fuel-operations,coal-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,0,tonnes,annual,2023-10-03 21:10:37.015382,
