iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
GHA,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.492377,
GHA,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,105144.0,tonnes,annual,2023-10-12 17:27:07.492365,
GHA,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,105144.0,tonnes,annual,2023-10-12 17:27:07.492393,
GHA,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,105144.0,tonnes,annual,2023-10-12 17:27:07.4924,
GHA,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.492385,
GHA,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.637073,
GHA,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,105880.0,tonnes,annual,2023-10-12 17:27:07.637061,
GHA,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,105880.0,tonnes,annual,2023-10-12 17:27:07.63709,
GHA,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,105880.0,tonnes,annual,2023-10-12 17:27:07.637097,
GHA,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.637082,
GHA,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.789623,
GHA,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,109070.0,tonnes,annual,2023-10-12 17:27:07.789611,
GHA,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,109070.0,tonnes,annual,2023-10-12 17:27:07.789639,
GHA,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,109070.0,tonnes,annual,2023-10-12 17:27:07.789647,
GHA,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.789631,
GHA,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.945642,
GHA,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,108463.0,tonnes,annual,2023-10-12 17:27:07.945629,
GHA,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,108463.0,tonnes,annual,2023-10-12 17:27:07.945658,
GHA,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,108463.0,tonnes,annual,2023-10-12 17:27:07.945665,
GHA,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.94565,
GHA,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.097594,
GHA,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,110035.0,tonnes,annual,2023-10-12 17:27:08.097581,
GHA,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,110035.0,tonnes,annual,2023-10-12 17:27:08.097611,
