iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
GHA,manufacturing,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.621529,
GHA,manufacturing,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,911328.0,tonnes,annual,2023-10-12 17:27:07.621516,
GHA,manufacturing,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,911328.0,tonnes,annual,2023-10-12 17:27:07.621549,
GHA,manufacturing,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,911328.0,tonnes,annual,2023-10-12 17:27:07.62156,
GHA,manufacturing,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.62154,
GHA,manufacturing,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.840499,
GHA,manufacturing,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,1158228.0,tonnes,annual,2023-10-12 17:27:07.840477,
GHA,manufacturing,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,1158228.0,tonnes,annual,2023-10-12 17:27:07.840532,
GHA,manufacturing,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,1158228.0,tonnes,annual,2023-10-12 17:27:07.840545,
GHA,manufacturing,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.840516,
GHA,manufacturing,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.093211,
GHA,manufacturing,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,299880.0,tonnes,annual,2023-10-12 17:27:08.09319,
GHA,manufacturing,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,299880.0,tonnes,annual,2023-10-12 17:27:08.093241,
GHA,manufacturing,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,299880.0,tonnes,annual,2023-10-12 17:27:08.093253,
GHA,manufacturing,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.093226,
GHA,manufacturing,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.34485,
GHA,manufacturing,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,1145676.0,tonnes,annual,2023-10-12 17:27:08.344824,
GHA,manufacturing,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,1145676.0,tonnes,annual,2023-10-12 17:27:08.344885,
GHA,manufacturing,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,1145676.0,tonnes,annual,2023-10-12 17:27:08.344899,
GHA,manufacturing,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.344868,
GHA,manufacturing,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.580313,
GHA,manufacturing,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,738156.0,tonnes,annual,2023-10-12 17:27:08.580295,
GHA,manufacturing,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,738156.0,tonnes,annual,2023-10-12 17:27:08.58033,
GHA,manufacturing,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,738156.0,tonnes,annual,2023-10-12 17:27:08.580337,
GHA,manufacturing,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.580322,
