source_id,source_name,iso3_country,sector,subsector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
25455358,Amandi power station,GHA,power,electricity-generation,4.9682,-1.6674,trace_-1.6674_4.9682,owner,Endeavor Energy,100000001204,,Amandi Energy,100000002438,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.918331,,{11003},"{1143,1144,1145,11003}"
25455358,Amandi power station,GHA,power,electricity-generation,4.9682,-1.6674,trace_-1.6674_4.9682,owner,Pan-African Infrastructure Development Funds,100001000375,,Amandi Energy,100000002438,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.918347,,{11003},"{1143,1144,1145,5628,11003}"
25455522,Bridge power station,GHA,power,electricity-generation,5.6777,0.0194,trace_0.0194_5.6777,owner,The Quantum Group,100000000466,,Early Power,100000002884,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.921671,,{11115},"{1145,1526,1527,11115}"
25455522,Bridge power station,GHA,power,electricity-generation,5.6777,0.0194,trace_0.0194_5.6777,owner,Endeavor Energy,100000001204,,Early Power,100000002884,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.921686,,{11115},"{1145,1526,1527,11115}"
25455522,Bridge power station,GHA,power,electricity-generation,5.6777,0.0194,trace_0.0194_5.6777,owner,General Electric,100000001223,,Early Power,100000002884,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.9217,,{11115},"{1145,1526,1527,11115}"
25455336,Karpowership (Ghana) Osman Khan power station,GHA,power,electricity-generation,4.9384,-1.6967,trace_-1.6967_4.9384,owner,Karadeniz Holding,100000001059,100.0,Karpowership,100000003399,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.917992,,{10988},"{2006,5819,10988}"
25454341,Kpone IPP (KIPP) power station,GHA,power,electricity-generation,5.6812,0.0411,trace_0.0411_5.6812,owner,Cenpower Holdings,100000000465,,Cenpower Generation,100000002661,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.896788,,{10240},"{1333,1334,1335,1336,1337,1338,10240}"
25454341,Kpone IPP (KIPP) power station,GHA,power,electricity-generation,5.6812,0.0411,trace_0.0411_5.6812,owner,Sumitomo,100000000657,,Cenpower Generation,100000002661,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.896805,,{10240},"{1333,1334,1335,1336,1337,1338,10240}"
25454341,Kpone IPP (KIPP) power station,GHA,power,electricity-generation,5.6812,0.0411,trace_0.0411_5.6812,owner,Dutch Entrepreneurial Development Bank,100000000740,,Cenpower Generation,100000002661,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.896823,,{10240},"{1333,1334,1335,1336,1337,1338,10240}"
25454341,Kpone IPP (KIPP) power station,GHA,power,electricity-generation,5.6812,0.0411,trace_0.0411_5.6812,owner,Central Bank of Nigeria,100000000753,,Cenpower Generation,100000002661,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.89684,,{10240},"{1333,1334,1335,1336,1337,1338,10240}"
25454341,Kpone IPP (KIPP) power station,GHA,power,electricity-generation,5.6812,0.0411,trace_0.0411_5.6812,owner,Coega Development,100000000920,,Cenpower Generation,100000002661,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.896858,,{10240},"{1333,1334,1335,1336,1337,1338,1866,10240}"
25454341,Kpone IPP (KIPP) power station,GHA,power,electricity-generation,5.6812,0.0411,trace_0.0411_5.6812,owner,Old Mutual Alternative Investments,100000000925,,Cenpower Generation,100000002661,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.896876,,{10240},"{1333,1334,1335,1336,1337,1338,10240}"
25455147,Kpone Thermal power plant,GHA,power,electricity-generation,5.7346,0.0093,trace_0.0093_5.7346,owner,Volta River Authority,100000000467,100.0,Volta River Authority,100000000467,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.913732,,{10841},{10841}
25453990,Sunon Asogli power station,GHA,power,electricity-generation,5.6803,0.0471,trace_0.0471_5.6803,owner,China African Development Fund,100000000162,40.0,Sunon Asogli Power,100000004127,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.888526,,{9958},"{2699,2700,2701,9958}"
25453990,Sunon Asogli power station,GHA,power,electricity-generation,5.6803,0.0471,trace_0.0471_5.6803,owner,Shenzhen Energy Group,100000001667,60.0,Sunon Asogli Power,100000004127,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.888542,,{9958},"{2699,2700,2701,5098,9958}"
25455067,Takoradi (TAPCO) 1 Thermal power plant,GHA,power,electricity-generation,4.9715,-1.6586,trace_-1.6586_4.9715,owner,Volta River Authority,100000000467,16.87999999999999,Volta River Authority,100000000467,16.87999999999999,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.912439,,{10788},{10788}
25455067,Takoradi (TAPCO) 1 Thermal power plant,GHA,power,electricity-generation,4.9715,-1.6586,trace_-1.6586_4.9715,owner,Volta River Authority,100000000467,4.092,Takoradi International Co Ltd,100000004151,40.92,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.912453,,{10788},"{2718,2719,10788}"
25455067,Takoradi (TAPCO) 1 Thermal power plant,GHA,power,electricity-generation,4.9715,-1.6586,trace_-1.6586_4.9715,owner,Abu Dhabi National Energy Company,100000001078,36.828,Takoradi International Co Ltd,100000004151,40.92,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.912468,,{10788},"{2718,2719,5504,10788}"
