iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
GHA,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.61839,
GHA,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,169026.47965191558,tonnes,annual,2023-10-10 21:31:23.618376,
GHA,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,169026.47965191558,tonnes,annual,2023-10-10 21:31:23.618408,
GHA,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,169026.47965191558,tonnes,annual,2023-10-10 21:31:23.618416,
GHA,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.618399,
GHA,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.61908,
GHA,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,204360.07396133212,tonnes,annual,2023-10-10 21:31:23.619065,
GHA,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,204360.07396133212,tonnes,annual,2023-10-10 21:31:23.619099,
GHA,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,204360.07396133212,tonnes,annual,2023-10-10 21:31:23.619106,
GHA,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.619089,
GHA,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.61976,
GHA,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,206525.32818925477,tonnes,annual,2023-10-10 21:31:23.619746,
GHA,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,206525.32818925477,tonnes,annual,2023-10-10 21:31:23.619778,
GHA,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,206525.32818925477,tonnes,annual,2023-10-10 21:31:23.619785,
GHA,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.619768,
GHA,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.620458,
GHA,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,160187.01836971485,tonnes,annual,2023-10-10 21:31:23.620443,
GHA,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,160187.01836971485,tonnes,annual,2023-10-10 21:31:23.620476,
GHA,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,160187.01836971485,tonnes,annual,2023-10-10 21:31:23.620484,
GHA,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.620467,
GHA,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.621138,
GHA,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,216030.00172625444,tonnes,annual,2023-10-10 21:31:23.621123,
