iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
GHA,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,14.555291,tonnes,,2023-10-06 14:56:33.428328,
GHA,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,259890.8613,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:30.621236
GHA,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,286880.228993,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:30.621236
GHA,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,287595.016536,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:30.621236
GHA,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,100.308753,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:30.621236
GHA,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,13.477124,tonnes,,2023-10-06 14:56:33.428328,
GHA,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,240639.7319,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:23.90079
GHA,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,265629.892017,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:23.90079
GHA,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,266291.732468,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:23.90079
GHA,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,92.878493,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:23.90079
GHA,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,12.68683,tonnes,,2023-10-06 14:56:33.428328,
GHA,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,226528.6931,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:16.963286
GHA,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,250053.437995,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:16.963286
GHA,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,250676.468348,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:16.963286
GHA,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,87.432127,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:16.963286
GHA,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,14.024651,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:10.421192
GHA,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,250416.0655,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:10.421192
GHA,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,276421.486703,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:10.421192
GHA,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,277110.215344,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:10.421192
GHA,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,96.651815,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:10.421192
GHA,transportation,railways,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,14.550809,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:03.667502
GHA,transportation,railways,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,259810.8275,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:03.667502
GHA,transportation,railways,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,286791.883847,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:03.667502
GHA,transportation,railways,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,287506.451288,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:03.667502
GHA,transportation,railways,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,100.277863,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:03.667502
GHA,transportation,railways,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,14.997351,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:56.579583
GHA,transportation,railways,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,267784.0309,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:56.579583
GHA,transportation,railways,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,295593.095328,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:56.579583
GHA,transportation,railways,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,296329.59174400003,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:56.579583
GHA,transportation,railways,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,103.35524,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:56.579583
GHA,transportation,railways,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,16.22355,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:50.048188
GHA,transportation,railways,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,289678.3227,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:50.048188
GHA,transportation,railways,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,319761.08412,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:50.048188
GHA,transportation,railways,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,320557.797252,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:50.048188
GHA,transportation,railways,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,111.805668,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:50.048188
GHA,transportation,railways,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,16.978133,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:32.491412
GHA,transportation,railways,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,303151.7331,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:32.491412
GHA,transportation,railways,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,334633.692804,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:32.491412
GHA,transportation,railways,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,335467.46232,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:32.491412
GHA,transportation,railways,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,117.005932,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:32.491412
