iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
GHA,waste,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,829.104986,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:30.621236
GHA,waste,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:29:17.689309
GHA,waste,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,23214.939608,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:29:17.689309
GHA,waste,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,69644.818824,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:29:17.689309
GHA,waste,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:29:17.689309
GHA,waste,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,849.527954,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:23.90079
GHA,waste,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:29:11.482165
GHA,waste,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,23786.782712,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:29:11.482165
GHA,waste,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,71360.348136,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:29:11.482165
GHA,waste,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:29:11.482165
GHA,waste,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,870.274707,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:16.963286
GHA,waste,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:29:04.818088
GHA,waste,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,24367.691796,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:29:04.818088
GHA,waste,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,73103.075388,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:29:04.818088
GHA,waste,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:29:04.818088
