iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
GHA,waste,solid-waste-disposal,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,53864.91620183751,tonnes,annual,2023-10-10 22:40:39.525181,2023-11-14 17:34:44.627843
GHA,waste,solid-waste-disposal,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:39.525169,2023-11-17 17:09:40.592636
GHA,waste,solid-waste-disposal,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1508217.65,tonnes,annual,2023-10-10 22:40:39.525198,2023-11-14 17:34:44.627843
GHA,waste,solid-waste-disposal,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,4524652.96,tonnes,annual,2023-10-10 22:40:39.525205,2023-11-14 17:34:44.627843
GHA,waste,solid-waste-disposal,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:39.525189,2023-11-17 17:09:40.592636
GHA,waste,solid-waste-disposal,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,55567.58620297759,tonnes,annual,2023-10-10 22:40:39.525772,2023-11-14 17:34:44.627843
GHA,waste,solid-waste-disposal,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:39.52576,2023-11-17 17:09:40.592636
GHA,waste,solid-waste-disposal,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,1555892.41,tonnes,annual,2023-10-10 22:40:39.52579,2023-11-14 17:34:44.627843
GHA,waste,solid-waste-disposal,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,4667677.24,tonnes,annual,2023-10-10 22:40:39.525798,2023-11-14 17:34:44.627843
GHA,waste,solid-waste-disposal,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:39.525781,2023-11-17 17:09:40.592636
GHA,waste,solid-waste-disposal,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,57324.07760285371,tonnes,annual,2023-10-10 22:40:39.526326,2023-11-14 17:34:44.627843
GHA,waste,solid-waste-disposal,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:39.526314,2023-11-17 17:09:40.592636
GHA,waste,solid-waste-disposal,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1605074.17,tonnes,annual,2023-10-10 22:40:39.526343,2023-11-14 17:34:44.627843
GHA,waste,solid-waste-disposal,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,4815222.52,tonnes,annual,2023-10-10 22:40:39.526351,2023-11-14 17:34:44.627843
GHA,waste,solid-waste-disposal,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:39.526334,2023-11-17 17:09:40.592636
GHA,waste,solid-waste-disposal,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,59136.091695879906,tonnes,annual,2023-10-10 22:40:39.526867,2023-11-14 17:34:44.627843
GHA,waste,solid-waste-disposal,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:39.526857,2023-11-17 17:09:40.592636
GHA,waste,solid-waste-disposal,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,1655810.57,tonnes,annual,2023-10-10 22:40:39.526885,2023-11-14 17:34:44.627843
GHA,waste,solid-waste-disposal,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,4967431.7,tonnes,annual,2023-10-10 22:40:39.526892,2023-11-14 17:34:44.627843
GHA,waste,solid-waste-disposal,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:39.526876,2023-11-17 17:09:40.592636
GHA,waste,solid-waste-disposal,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,61005.383554386666,tonnes,annual,2023-10-10 22:40:39.527389,2023-11-14 17:34:44.627843
GHA,waste,solid-waste-disposal,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:39.527378,2023-11-17 17:09:40.592636
