iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,agriculture,cropland-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,35681.9329115537,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,20021530.3725016,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,21244627.70078749,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,23157179.304846767,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,925.087007661638,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,42241.5076289766,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,23702181.5641071,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,25150126.61765517,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,27414271.42656832,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,1095.15035179454,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,43123.1964757239,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,24196901.5068019,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,25675068.84188109,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,27986472.172979888,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,1118.00875802014,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,43489.152904564,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,24402247.1233267,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,25892958.6543794,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,28223977.250064027,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,1127.49660091047,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,44471.3801003476,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,24953390.4619731,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,26477770.588299576,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,28861436.56167821,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,1152.96185932975,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,43918.9169478122,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,24643396.2101553,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,26148839.079519764,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,28502893.027922496,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,1138.63856550906,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,43958.6171594411,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,24665666.3629121,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,26172470.050602105,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,28528651.930348143,tonnes,annual,2023-10-06 00:00:00,
NGA,agriculture,cropland-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,1139.66776905936,tonnes,annual,2023-10-06 00:00:00,
