iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,agriculture,manure-left-on-pasture-cattle,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,14866.737007131,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,6472770.322840485,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,7269627.426422706,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,22228.5533928444,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,14710.5010042892,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,6404747.344981409,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,7193230.19881131,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,21994.9513467573,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,14792.9039933175,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,6440624.461798978,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,7233524.115840796,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,22118.1592424203,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,14879.6349959539,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,6478385.929303294,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,7275934.365086422,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,22247.8383055434,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,15099.5789891147,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,6574146.488564485,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,7383483.922381032,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,22576.6957511376,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,15244.8100005689,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,6637378.041149693,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,7454499.857180186,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,22793.8432569019,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,15099.8609891796,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,,tonnes,annual,2023-10-18 00:00:00,
NGA,agriculture,manure-left-on-pasture-cattle,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,6574269.2674127845,tonnes,annual,2023-10-18 00:00:00,
