iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,buildings,other-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,731.897969,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:32.442611
NGA,buildings,other-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,5262346.395,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:32.442611
NGA,buildings,other-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,5294476.715802,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:32.442611
NGA,buildings,other-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,5335419.088187999,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:32.442611
NGA,buildings,other-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,43.913878,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:32.442611
NGA,buildings,other-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,105.12,tonnes,,2023-10-06 14:56:33.428328,
NGA,buildings,other-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,755812.8,tonnes,,2023-10-06 14:56:33.428328,
NGA,buildings,other-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,760427.5680000001,tonnes,,2023-10-06 14:56:33.428328,
NGA,buildings,other-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,766307.9808,tonnes,,2023-10-06 14:56:33.428328,
NGA,buildings,other-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,6.3072,tonnes,,2023-10-06 14:56:33.428328,
NGA,buildings,other-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,114.741104,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:19.491563
NGA,buildings,other-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,824988.5342999999,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:19.491563
NGA,buildings,other-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,830025.6687019999,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:19.491563
NGA,buildings,other-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,836444.28606,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:19.491563
NGA,buildings,other-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,6.884466,tonnes,,2023-10-06 14:56:33.428328,
NGA,buildings,other-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,72.669902,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:12.85397
NGA,buildings,other-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,522496.5979,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:12.85397
NGA,buildings,other-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,525686.806566,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:12.85397
NGA,buildings,other-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,529751.9608840001,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:12.85397
NGA,buildings,other-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,4.360194000000001,tonnes,,2023-10-06 14:56:33.428328,
NGA,buildings,other-onsite-fuel-usage,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,74.274702,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:05.459071
NGA,buildings,other-onsite-fuel-usage,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,534035.1084,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:05.459071
NGA,buildings,other-onsite-fuel-usage,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,537295.767786,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:05.459071
NGA,buildings,other-onsite-fuel-usage,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,541450.6946159999,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:05.459071
NGA,buildings,other-onsite-fuel-usage,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,4.456482,tonnes,,2023-10-06 14:56:33.428328,
NGA,buildings,other-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,72.9423,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:59.041221
NGA,buildings,other-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,524455.1355999999,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:59.041221
NGA,buildings,other-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,527657.3025699999,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:59.041221
NGA,buildings,other-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,531737.694832,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:59.041221
NGA,buildings,other-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,4.376538,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:59.041221
NGA,buildings,other-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,78.906136,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:52.243709
NGA,buildings,other-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,567335.1152,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:52.243709
NGA,buildings,other-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,570799.094528,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:52.243709
NGA,buildings,other-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,575213.103776,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:52.243709
NGA,buildings,other-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,4.734368,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:52.243709
NGA,buildings,other-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,82.576188,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:35.743446
NGA,buildings,other-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,593722.795,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:35.743446
NGA,buildings,other-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,597347.889579,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:35.743446
NGA,buildings,other-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,601967.201536,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:35.743446
NGA,buildings,other-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,4.954571,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:35.743446
