iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.135451,
NGA,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,40951200.78073433,tonnes,annual,2023-10-03 21:10:31.135441,
NGA,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,40951200.78073433,tonnes,annual,2023-10-03 21:10:31.135466,
NGA,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,40951200.78073433,tonnes,annual,2023-10-03 21:10:31.135474,
NGA,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.135458,
NGA,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.283547,
NGA,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,-125796456.8031507,tonnes,annual,2023-10-03 21:10:31.283538,
NGA,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,-125796456.8031507,tonnes,annual,2023-10-03 21:10:31.283563,
NGA,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,-125796456.8031507,tonnes,annual,2023-10-03 21:10:31.283571,
NGA,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.283554,
NGA,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,0.0,tonnes,annual,2023-10-03 21:10:31.447431,
NGA,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,-66732961.67076068,tonnes,annual,2023-10-03 21:10:31.44742,
NGA,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,-66732961.67076068,tonnes,annual,2023-10-03 21:10:31.447447,
