iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,forestry-and-land-use,water-reservoirs,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,44642.15259699999,tonnes,annual,2023-10-03 21:10:31.844204,
NGA,forestry-and-land-use,water-reservoirs,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:31.844193,
NGA,forestry-and-land-use,water-reservoirs,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1214266.5506383998,tonnes,annual,2023-10-03 21:10:31.844221,
NGA,forestry-and-land-use,water-reservoirs,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,3607085.9298375994,tonnes,annual,2023-10-03 21:10:31.844229,
NGA,forestry-and-land-use,water-reservoirs,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.844211,
NGA,forestry-and-land-use,water-reservoirs,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,44642.15259699999,tonnes,annual,2023-10-03 21:10:31.844745,
NGA,forestry-and-land-use,water-reservoirs,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:31.844735,
NGA,forestry-and-land-use,water-reservoirs,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,1214266.5506383998,tonnes,annual,2023-10-03 21:10:31.844761,
NGA,forestry-and-land-use,water-reservoirs,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,3607085.9298375994,tonnes,annual,2023-10-03 21:10:31.844769,
NGA,forestry-and-land-use,water-reservoirs,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.844752,
NGA,forestry-and-land-use,water-reservoirs,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,44642.15259699999,tonnes,annual,2023-10-03 21:10:31.845288,
NGA,forestry-and-land-use,water-reservoirs,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:31.845278,
NGA,forestry-and-land-use,water-reservoirs,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1214266.5506383998,tonnes,annual,2023-10-03 21:10:31.845304,
NGA,forestry-and-land-use,water-reservoirs,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,3607085.9298375994,tonnes,annual,2023-10-03 21:10:31.845312,
NGA,forestry-and-land-use,water-reservoirs,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:31.845295,
NGA,forestry-and-land-use,water-reservoirs,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,44642.15259699999,tonnes,annual,2023-10-03 21:10:31.845897,
NGA,forestry-and-land-use,water-reservoirs,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:31.845886,
NGA,forestry-and-land-use,water-reservoirs,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,1214266.5506383998,tonnes,annual,2023-10-03 21:10:31.845913,
NGA,forestry-and-land-use,water-reservoirs,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,3607085.9298375994,tonnes,annual,2023-10-03 21:10:31.845921,
