iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,1165719.7691602805,tonnes,annual,2023-10-10 22:40:44.411407,2023-10-27 23:15:06.835991
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,53209449.70002987,tonnes,annual,2023-10-10 22:40:44.411397,2023-10-27 23:15:06.835991
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,87947898.82100622,tonnes,annual,2023-10-10 22:40:44.411429,2023-11-09 22:35:16.13567
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,149381330.65575305,tonnes,annual,2023-10-10 22:40:44.411438,2023-10-27 23:15:06.835991
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.411419,
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,1000154.2507414988,tonnes,annual,2023-10-10 22:40:44.46233,2023-10-27 23:15:09.480419
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,45230815.92546853,tonnes,annual,2023-10-10 22:40:44.46232,2023-10-27 23:15:09.480419
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,75035412.59756517,tonnes,annual,2023-10-10 22:40:44.462351,2023-11-09 22:35:18.555537
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,127743541.61164217,tonnes,annual,2023-10-10 22:40:44.462359,2023-10-27 23:15:09.480419
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.462342,
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,1038345.4715346833,tonnes,annual,2023-10-10 22:40:44.516072,2023-10-27 23:15:09.57033
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,47504271.10457522,tonnes,annual,2023-10-10 22:40:44.516061,2023-10-27 23:15:09.57033
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,78446966.15630877,tonnes,annual,2023-10-10 22:40:44.516093,2023-11-09 22:35:18.620909
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,133167772.50618656,tonnes,annual,2023-10-10 22:40:44.516101,2023-10-27 23:15:09.57033
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.516083,
NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,1075586.20113829,tonnes,annual,2023-10-10 22:40:44.571089,2023-10-27 23:15:09.650517
