source_id,source_name,iso3_country,sector,subsector,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
25493983,AfiesereEriemu,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Nigerian Petroleum Development Company (NPDC),200000000360,,Nigerian Petroleum Development Company (NPDC),200000000360,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.344146,2023-12-19 17:24:21.095354,,
25493984,Agbami,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Chevron,200000000113,,Chevron,200000000113,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.344176,2023-12-19 17:24:21.095354,,
25493989,Akpo-Egina (OML 130),NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,TotalEnergies,200000000599,,TotalEnergies,200000000599,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.344335,2023-12-19 17:24:21.095354,,
25494000,Amenam-Kpono,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,TotalEnergies,200000000599,,TotalEnergies,200000000599,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.34557,2023-12-19 17:24:21.095354,,
25494060,Bonga Complex,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Shell,200000000531,,Shell,200000000531,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.353141,2023-12-19 17:24:21.095354,,
25494063,Bonny,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,NNPC (Nigeria),200000000363,,NNPC (Nigeria),200000000363,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.353194,2023-12-19 17:24:21.095354,,
25494140,EA,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Shell,200000000531,,Shell,200000000531,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.356269,2023-12-19 17:24:21.095354,,
25494159,Erha,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,ExxonMobil,200000000206,,ExxonMobil,200000000206,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.360771,2023-12-19 17:24:21.095354,,
25494184,Gbaran,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Shell,200000000531,,Shell,200000000531,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.361419,2023-12-19 17:24:21.095354,,
25494229,Ibewa,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,TotalEnergies,200000000599,,TotalEnergies,200000000599,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.36489,2023-12-19 17:24:21.095354,,
25494278,Koma,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Shell,200000000531,,Shell,200000000531,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.366368,2023-12-19 17:24:21.095354,,
25494341,Meji,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Chevron,200000000113,,Chevron,200000000113,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.369225,2023-12-19 17:24:21.095354,,
25494394,Obagi,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,TotalEnergies,200000000599,,TotalEnergies,200000000599,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.371214,2023-12-19 17:24:21.095354,,
25494395,Obiafu-Obrikom,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Eni,200000000191,,Eni,200000000191,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.371238,2023-12-19 17:24:21.095354,,
25494397,Ofon,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,TotalEnergies,200000000599,,TotalEnergies,200000000599,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.371287,2023-12-19 17:24:21.095354,,
25494400,Okono-Okpoho,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Eni,200000000191,,Eni,200000000191,88.23529159169493,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.371375,2023-12-19 17:24:21.095354,,
25494400,Okono-Okpoho,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Nigerian Petroleum Development Company (NPDC),200000000360,,Nigerian Petroleum Development Company (NPDC),200000000360,11.764708408305063,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.371387,2023-12-19 17:24:21.095354,,
25494408,Oso-NG,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,ExxonMobil,200000000206,,ExxonMobil,200000000206,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.371811,2023-12-19 17:24:21.095354,,
25494528,Soku,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Shell,200000000531,,Shell,200000000531,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.382231,2023-12-19 17:24:21.095354,,
25494530,Sonam,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Chevron,200000000113,,Chevron,200000000113,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.382251,2023-12-19 17:24:21.095354,,
25494585,Tunu-NG,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Shell,200000000531,,Shell,200000000531,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.38397,2023-12-19 17:24:21.095354,,
25494591,Ubit,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,ExxonMobil,200000000206,,ExxonMobil,200000000206,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.384076,2023-12-19 17:24:21.095354,,
25494592,Ughelli,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Nigerian Petroleum Development Company (NPDC),200000000360,,Nigerian Petroleum Development Company (NPDC),200000000360,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.384101,2023-12-19 17:24:21.095354,,
25494603,Usari,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,ExxonMobil,200000000206,,ExxonMobil,200000000206,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.385353,2023-12-19 17:24:21.095354,,
25494607,Utorogu,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Nigerian Petroleum Development Company (NPDC),200000000360,,Nigerian Petroleum Development Company (NPDC),200000000360,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.386104,2023-12-19 17:24:21.095354,,
25494663,Zarama,NGA,fossil-fuel-operations,oil-and-gas-production-and-transport,operator,Shell,200000000531,,Shell,200000000531,100.0,,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-12-18 12:32:22.392006,2023-12-19 17:24:21.095354,,
