iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,fossil-fuel-operations,oil-and-gas-refining,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,11.99500566,tonnes,annual,2023-10-03 21:12:43.356929,
NGA,fossil-fuel-operations,oil-and-gas-refining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,249772.5519,tonnes,annual,2023-10-03 21:12:43.356919,
NGA,fossil-fuel-operations,oil-and-gas-refining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,252430.0898,tonnes,annual,2023-10-03 21:12:43.356944,
NGA,fossil-fuel-operations,oil-and-gas-refining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,252432.3147,tonnes,annual,2023-10-03 21:12:43.356952,
NGA,fossil-fuel-operations,oil-and-gas-refining,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,2.320616478,tonnes,annual,2023-10-03 21:12:43.356936,
NGA,fossil-fuel-operations,oil-and-gas-refining,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,33.80410687,tonnes,annual,2023-10-03 21:12:43.521239,
NGA,fossil-fuel-operations,oil-and-gas-refining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,703904.4644,tonnes,annual,2023-10-03 21:12:43.521229,
NGA,fossil-fuel-operations,oil-and-gas-refining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,711393.8895,tonnes,annual,2023-10-03 21:12:43.521255,
NGA,fossil-fuel-operations,oil-and-gas-refining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,711400.1596,tonnes,annual,2023-10-03 21:12:43.521262,
NGA,fossil-fuel-operations,oil-and-gas-refining,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,6.539919165,tonnes,annual,2023-10-03 21:12:43.521247,
NGA,fossil-fuel-operations,oil-and-gas-refining,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,44.16342994,tonnes,annual,2023-10-03 21:12:43.672863,
NGA,fossil-fuel-operations,oil-and-gas-refining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,919617.1228,tonnes,annual,2023-10-03 21:12:43.672853,
NGA,fossil-fuel-operations,oil-and-gas-refining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,929401.6943,tonnes,annual,2023-10-03 21:12:43.672879,
NGA,fossil-fuel-operations,oil-and-gas-refining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,929409.8859,tonnes,annual,2023-10-03 21:12:43.672886,
NGA,fossil-fuel-operations,oil-and-gas-refining,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,8.544087942,tonnes,annual,2023-10-03 21:12:43.672871,
NGA,fossil-fuel-operations,oil-and-gas-refining,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,18.87279876,tonnes,annual,2023-10-03 21:12:43.822793,
NGA,fossil-fuel-operations,oil-and-gas-refining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,392989.1523,tonnes,annual,2023-10-03 21:12:43.822782,
NGA,fossil-fuel-operations,oil-and-gas-refining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,397170.4907,tonnes,annual,2023-10-03 21:12:43.822808,
NGA,fossil-fuel-operations,oil-and-gas-refining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,397173.9913,tonnes,annual,2023-10-03 21:12:43.822816,
NGA,fossil-fuel-operations,oil-and-gas-refining,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,3.651230271,tonnes,annual,2023-10-03 21:12:43.8228,
NGA,fossil-fuel-operations,oil-and-gas-refining,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,3.725326364,tonnes,annual,2023-10-03 21:12:43.982551,
NGA,fossil-fuel-operations,oil-and-gas-refining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,77572.64136,tonnes,annual,2023-10-03 21:12:43.982541,
NGA,fossil-fuel-operations,oil-and-gas-refining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,78398.00122,tonnes,annual,2023-10-03 21:12:43.982567,
NGA,fossil-fuel-operations,oil-and-gas-refining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,78398.6922,tonnes,annual,2023-10-03 21:12:43.982574,
NGA,fossil-fuel-operations,oil-and-gas-refining,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0.720721106,tonnes,annual,2023-10-03 21:12:43.982558,
NGA,fossil-fuel-operations,oil-and-gas-refining,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:12:44.13321,
NGA,fossil-fuel-operations,oil-and-gas-refining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,,tonnes,annual,2023-10-03 21:12:44.133198,
NGA,fossil-fuel-operations,oil-and-gas-refining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-03 21:12:44.133228,
NGA,fossil-fuel-operations,oil-and-gas-refining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-03 21:12:44.133236,
NGA,fossil-fuel-operations,oil-and-gas-refining,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:12:44.133218,
NGA,fossil-fuel-operations,oil-and-gas-refining,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,1.546150491,tonnes,annual,2023-10-03 21:12:44.288264,
NGA,fossil-fuel-operations,oil-and-gas-refining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,32195.56243,tonnes,annual,2023-10-03 21:12:44.288254,
NGA,fossil-fuel-operations,oil-and-gas-refining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,32538.1178,tonnes,annual,2023-10-03 21:12:44.288279,
NGA,fossil-fuel-operations,oil-and-gas-refining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,32538.40458,tonnes,annual,2023-10-03 21:12:44.288287,
NGA,fossil-fuel-operations,oil-and-gas-refining,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,0.299126354,tonnes,annual,2023-10-03 21:12:44.288271,
NGA,fossil-fuel-operations,oil-and-gas-refining,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,3.092300982,tonnes,annual,2023-10-03 21:12:44.441773,
NGA,fossil-fuel-operations,oil-and-gas-refining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,64391.12486,tonnes,annual,2023-10-03 21:12:44.441763,
NGA,fossil-fuel-operations,oil-and-gas-refining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,65076.2356,tonnes,annual,2023-10-03 21:12:44.441788,
NGA,fossil-fuel-operations,oil-and-gas-refining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,65076.80917,tonnes,annual,2023-10-03 21:12:44.441796,
NGA,fossil-fuel-operations,oil-and-gas-refining,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,0.598252707,tonnes,annual,2023-10-03 21:12:44.44178,
