iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,manufacturing,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.677915,
NGA,manufacturing,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,12459785.0,tonnes,annual,2023-10-12 17:27:07.677902,
NGA,manufacturing,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,12459785.0,tonnes,annual,2023-10-12 17:27:07.677933,
NGA,manufacturing,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,12459785.0,tonnes,annual,2023-10-12 17:27:07.67795,
NGA,manufacturing,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.677924,
NGA,manufacturing,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.9217,
NGA,manufacturing,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,13026701.0,tonnes,annual,2023-10-12 17:27:07.921678,
NGA,manufacturing,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,13026701.0,tonnes,annual,2023-10-12 17:27:07.921729,
NGA,manufacturing,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,13026701.0,tonnes,annual,2023-10-12 17:27:07.921741,
NGA,manufacturing,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.921715,
NGA,manufacturing,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.175899,
NGA,manufacturing,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,11390288.0,tonnes,annual,2023-10-12 17:27:08.175876,
NGA,manufacturing,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,11390288.0,tonnes,annual,2023-10-12 17:27:08.175932,
NGA,manufacturing,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,11390288.0,tonnes,annual,2023-10-12 17:27:08.175959,
NGA,manufacturing,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.175915,
NGA,manufacturing,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.425822,
NGA,manufacturing,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,12460370.0,tonnes,annual,2023-10-12 17:27:08.425808,
NGA,manufacturing,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,12460370.0,tonnes,annual,2023-10-12 17:27:08.425839,
NGA,manufacturing,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,12460370.0,tonnes,annual,2023-10-12 17:27:08.425847,
NGA,manufacturing,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.42583,
NGA,manufacturing,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.636756,
NGA,manufacturing,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,13447032.0,tonnes,annual,2023-10-12 17:27:08.636742,
NGA,manufacturing,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,13447032.0,tonnes,annual,2023-10-12 17:27:08.636775,
NGA,manufacturing,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,13447032.0,tonnes,annual,2023-10-12 17:27:08.636783,
NGA,manufacturing,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.636765,
NGA,manufacturing,cement,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.839592,
NGA,manufacturing,cement,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,13447002.0,tonnes,annual,2023-10-12 17:27:08.83957,
NGA,manufacturing,cement,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,13447002.0,tonnes,annual,2023-10-12 17:27:08.83962,
NGA,manufacturing,cement,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,13447002.0,tonnes,annual,2023-10-12 17:27:08.839632,
NGA,manufacturing,cement,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.839607,
NGA,manufacturing,cement,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:09.060871,
NGA,manufacturing,cement,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,13446985.0,tonnes,annual,2023-10-12 17:27:09.060857,
NGA,manufacturing,cement,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,13446985.0,tonnes,annual,2023-10-12 17:27:09.060889,
NGA,manufacturing,cement,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,13446985.0,tonnes,annual,2023-10-12 17:27:09.06091,
NGA,manufacturing,cement,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:09.060879,
NGA,manufacturing,cement,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:09.282342,
NGA,manufacturing,cement,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,13446978.0,tonnes,annual,2023-10-12 17:27:09.282321,
NGA,manufacturing,cement,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,13446978.0,tonnes,annual,2023-10-12 17:27:09.282374,
NGA,manufacturing,cement,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,13446978.0,tonnes,annual,2023-10-12 17:27:09.282389,
NGA,manufacturing,cement,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:09.282358,
NGA,manufacturing,cement,2023-01-01 00:00:00,2023-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:09.495408,
NGA,manufacturing,cement,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,3361782.0,tonnes,annual,2023-10-12 17:27:09.495395,
NGA,manufacturing,cement,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,3361782.0,tonnes,annual,2023-10-12 17:27:09.495425,
NGA,manufacturing,cement,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_20yr,3361782.0,tonnes,annual,2023-10-12 17:27:09.495432,
NGA,manufacturing,cement,2023-01-01 00:00:00,2023-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:09.495417,
