iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,manufacturing,pulp-and-paper,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-11 18:24:11.83324,
NGA,manufacturing,pulp-and-paper,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,,tonnes,annual,2023-10-11 18:24:11.833229,
NGA,manufacturing,pulp-and-paper,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-11 18:24:11.833263,
NGA,manufacturing,pulp-and-paper,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-11 18:24:11.833283,
NGA,manufacturing,pulp-and-paper,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-11 18:24:11.833252,
NGA,manufacturing,pulp-and-paper,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-11 18:24:11.992423,
NGA,manufacturing,pulp-and-paper,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,,tonnes,annual,2023-10-11 18:24:11.992412,
NGA,manufacturing,pulp-and-paper,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-11 18:24:11.99244,
NGA,manufacturing,pulp-and-paper,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-11 18:24:11.992449,
NGA,manufacturing,pulp-and-paper,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-11 18:24:11.992431,
NGA,manufacturing,pulp-and-paper,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-11 18:24:12.156428,
NGA,manufacturing,pulp-and-paper,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,,tonnes,annual,2023-10-11 18:24:12.156416,
NGA,manufacturing,pulp-and-paper,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-11 18:24:12.156446,
NGA,manufacturing,pulp-and-paper,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-11 18:24:12.156455,
NGA,manufacturing,pulp-and-paper,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-11 18:24:12.156436,
NGA,manufacturing,pulp-and-paper,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-11 18:24:12.320539,
NGA,manufacturing,pulp-and-paper,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,,tonnes,annual,2023-10-11 18:24:12.320526,
NGA,manufacturing,pulp-and-paper,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-11 18:24:12.320557,
NGA,manufacturing,pulp-and-paper,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-11 18:24:12.320566,
NGA,manufacturing,pulp-and-paper,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-11 18:24:12.320548,
