iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,mineral-extraction,iron-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:23.669279,
NGA,mineral-extraction,iron-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,169.0,tonnes,annual,2023-10-03 21:13:23.669262,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,169.0,tonnes,annual,2023-10-03 21:13:23.669296,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,169.0,tonnes,annual,2023-10-03 21:13:23.669303,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:23.669288,
NGA,mineral-extraction,iron-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:23.66982,
NGA,mineral-extraction,iron-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,56.0,tonnes,annual,2023-10-03 21:13:23.669808,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,56.0,tonnes,annual,2023-10-03 21:13:23.669844,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,56.0,tonnes,annual,2023-10-03 21:13:23.669854,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:23.669836,
NGA,mineral-extraction,iron-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:23.670391,
NGA,mineral-extraction,iron-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,56.0,tonnes,annual,2023-10-03 21:13:23.670378,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,56.0,tonnes,annual,2023-10-03 21:13:23.670415,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,56.0,tonnes,annual,2023-10-03 21:13:23.670433,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:23.670406,
NGA,mineral-extraction,iron-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:23.671212,
NGA,mineral-extraction,iron-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,56.0,tonnes,annual,2023-10-03 21:13:23.671197,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,56.0,tonnes,annual,2023-10-03 21:13:23.67123,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,56.0,tonnes,annual,2023-10-03 21:13:23.671237,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:23.671221,
NGA,mineral-extraction,iron-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:23.671749,
NGA,mineral-extraction,iron-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,56.0,tonnes,annual,2023-10-03 21:13:23.671736,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,56.0,tonnes,annual,2023-10-03 21:13:23.671766,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,56.0,tonnes,annual,2023-10-03 21:13:23.671774,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:23.671758,
NGA,mineral-extraction,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:23.672314,
NGA,mineral-extraction,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:13:23.672301,
NGA,mineral-extraction,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0.0,tonnes,annual,2023-10-03 21:13:23.672331,
NGA,mineral-extraction,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,0.0,tonnes,annual,2023-10-03 21:13:23.672339,
NGA,mineral-extraction,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:23.672323,
NGA,mineral-extraction,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:23.67308,
NGA,mineral-extraction,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,66.0,tonnes,annual,2023-10-03 21:13:23.673064,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,66.0,tonnes,annual,2023-10-03 21:13:23.673103,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,66.0,tonnes,annual,2023-10-03 21:13:23.673115,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:23.67309,
NGA,mineral-extraction,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:23.673652,
NGA,mineral-extraction,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,72.0,tonnes,annual,2023-10-03 21:13:23.673641,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,72.0,tonnes,annual,2023-10-03 21:13:23.67367,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,72.0,tonnes,annual,2023-10-03 21:13:23.67368,2023-11-02 13:53:04.03895
NGA,mineral-extraction,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:23.673661,
