iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,mineral-extraction,rock-quarrying,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.873615,
NGA,mineral-extraction,rock-quarrying,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,179.0,tonnes,annual,2023-10-03 21:10:31.873598,
NGA,mineral-extraction,rock-quarrying,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,179.0,tonnes,annual,2023-10-03 21:10:31.873633,
NGA,mineral-extraction,rock-quarrying,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,179.0,tonnes,annual,2023-10-03 21:10:31.87364,
NGA,mineral-extraction,rock-quarrying,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.873624,
NGA,mineral-extraction,rock-quarrying,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.874215,
NGA,mineral-extraction,rock-quarrying,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,259.0,tonnes,annual,2023-10-03 21:10:31.874199,
NGA,mineral-extraction,rock-quarrying,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,259.0,tonnes,annual,2023-10-03 21:10:31.874232,
NGA,mineral-extraction,rock-quarrying,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,259.0,tonnes,annual,2023-10-03 21:10:31.87424,
NGA,mineral-extraction,rock-quarrying,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.874224,
NGA,mineral-extraction,rock-quarrying,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.874798,
NGA,mineral-extraction,rock-quarrying,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,266.0,tonnes,annual,2023-10-03 21:10:31.874783,
NGA,mineral-extraction,rock-quarrying,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,266.0,tonnes,annual,2023-10-03 21:10:31.874815,
NGA,mineral-extraction,rock-quarrying,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,266.0,tonnes,annual,2023-10-03 21:10:31.874823,
NGA,mineral-extraction,rock-quarrying,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.874807,
NGA,mineral-extraction,rock-quarrying,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.875465,
NGA,mineral-extraction,rock-quarrying,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,360.0,tonnes,annual,2023-10-03 21:10:31.875449,
NGA,mineral-extraction,rock-quarrying,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,360.0,tonnes,annual,2023-10-03 21:10:31.875483,
NGA,mineral-extraction,rock-quarrying,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,360.0,tonnes,annual,2023-10-03 21:10:31.875491,
NGA,mineral-extraction,rock-quarrying,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.875475,
NGA,mineral-extraction,rock-quarrying,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.876037,
NGA,mineral-extraction,rock-quarrying,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,868.0,tonnes,annual,2023-10-03 21:10:31.876021,
NGA,mineral-extraction,rock-quarrying,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,868.0,tonnes,annual,2023-10-03 21:10:31.876065,
NGA,mineral-extraction,rock-quarrying,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,868.0,tonnes,annual,2023-10-03 21:10:31.876073,
NGA,mineral-extraction,rock-quarrying,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.876046,
NGA,mineral-extraction,rock-quarrying,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.876616,
