iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:39.289032,
NGA,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,13128000.0,tonnes,annual,2023-10-03 21:10:39.289018,2023-10-31 20:30:14.422368
NGA,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,13128000.0,tonnes,annual,2023-10-03 21:10:39.289051,2023-10-31 20:30:14.422368
NGA,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,13128000.0,tonnes,annual,2023-10-03 21:10:39.28906,2023-10-31 20:30:14.422368
NGA,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:39.289042,
NGA,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:39.289643,
NGA,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,12478000.0,tonnes,annual,2023-10-03 21:10:39.289629,2023-10-31 20:30:14.422368
NGA,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,12478000.0,tonnes,annual,2023-10-03 21:10:39.289662,2023-10-31 20:30:14.422368
NGA,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,12478000.0,tonnes,annual,2023-10-03 21:10:39.289671,2023-10-31 20:30:14.422368
NGA,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:39.289652,
NGA,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:39.290247,
NGA,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,13098000.0,tonnes,annual,2023-10-03 21:10:39.290233,2023-10-31 20:30:14.422368
NGA,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,13098000.0,tonnes,annual,2023-10-03 21:10:39.290266,2023-10-31 20:30:14.422368
NGA,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,13098000.0,tonnes,annual,2023-10-03 21:10:39.290275,2023-10-31 20:30:14.422368
NGA,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:39.290257,
