iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.268757,
NGA,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,851994.7214160847,tonnes,annual,2023-10-10 21:31:24.26874,
NGA,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,851994.7214160847,tonnes,annual,2023-10-10 21:31:24.26878,
NGA,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,851994.7214160847,tonnes,annual,2023-10-10 21:31:24.268788,
NGA,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.26877,
NGA,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.269479,
NGA,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,846573.0606776263,tonnes,annual,2023-10-10 21:31:24.269465,
NGA,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,846573.0606776263,tonnes,annual,2023-10-10 21:31:24.269497,
NGA,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,846573.0606776263,tonnes,annual,2023-10-10 21:31:24.269505,
NGA,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.269488,
NGA,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.270194,
NGA,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,890986.6882669966,tonnes,annual,2023-10-10 21:31:24.270179,
NGA,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,890986.6882669966,tonnes,annual,2023-10-10 21:31:24.270213,
NGA,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,890986.6882669966,tonnes,annual,2023-10-10 21:31:24.270221,
NGA,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.270203,
NGA,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.270878,
NGA,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,1053053.102799554,tonnes,annual,2023-10-10 21:31:24.270863,
NGA,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,1053053.102799554,tonnes,annual,2023-10-10 21:31:24.270897,
NGA,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,1053053.102799554,tonnes,annual,2023-10-10 21:31:24.270904,
NGA,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.270887,
NGA,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.271569,
NGA,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,1474318.8597304467,tonnes,annual,2023-10-10 21:31:24.271554,
NGA,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,1474318.8597304467,tonnes,annual,2023-10-10 21:31:24.271587,
NGA,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,1474318.8597304467,tonnes,annual,2023-10-10 21:31:24.271595,
NGA,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.271578,
NGA,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.272272,
NGA,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,1668691.168653844,tonnes,annual,2023-10-10 21:31:24.272257,
NGA,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,1668691.168653844,tonnes,annual,2023-10-10 21:31:24.2723,
NGA,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,1668691.168653844,tonnes,annual,2023-10-10 21:31:24.272307,
NGA,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.272281,
NGA,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.272968,
NGA,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,1610175.9808256775,tonnes,annual,2023-10-10 21:31:24.272954,
NGA,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,1610175.9808256775,tonnes,annual,2023-10-10 21:31:24.272987,
NGA,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,1610175.9808256775,tonnes,annual,2023-10-10 21:31:24.272995,
NGA,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.272978,
NGA,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.273687,
NGA,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,1499421.7986065822,tonnes,annual,2023-10-10 21:31:24.273672,
NGA,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,1499421.7986065822,tonnes,annual,2023-10-10 21:31:24.273705,
NGA,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,1499421.7986065822,tonnes,annual,2023-10-10 21:31:24.273713,
NGA,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.273696,
NGA,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.274385,
NGA,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,1101116.8056931766,tonnes,annual,2023-10-10 21:31:24.27437,
NGA,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,1101116.8056931766,tonnes,annual,2023-10-10 21:31:24.274403,
NGA,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_20yr,1101116.8056931766,tonnes,annual,2023-10-10 21:31:24.274411,
NGA,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.274393,
