iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,transportation,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,10.654651235881104,tonnes,annual,2023-10-03 21:10:36.213061,
NGA,transportation,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,1520031.5081437617,tonnes,annual,2023-10-03 21:10:36.213051,
NGA,transportation,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1531983.895900173,tonnes,annual,2023-10-03 21:10:36.213077,
NGA,transportation,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,1532545.3960203042,tonnes,annual,2023-10-03 21:10:36.213085,
NGA,transportation,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,42.61860494352444,tonnes,annual,2023-10-03 21:10:36.213068,
NGA,transportation,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,9.036135223434597,tonnes,annual,2023-10-03 21:10:36.356163,
NGA,transportation,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,1289128.0950814153,tonnes,annual,2023-10-03 21:10:36.356152,
NGA,transportation,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,1299264.8315750642,tonnes,annual,2023-10-03 21:10:36.356179,
NGA,transportation,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,1299741.0359013395,tonnes,annual,2023-10-03 21:10:36.356187,
NGA,transportation,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,36.14454089373841,tonnes,annual,2023-10-03 21:10:36.356171,
NGA,transportation,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,7.214638169178454,tonnes,annual,2023-10-03 21:10:36.498449,
NGA,transportation,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,1029266.6643162052,tonnes,annual,2023-10-03 21:10:36.498439,2024-02-27 18:49:09.05365
