iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,transportation,international-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.46935,
NGA,transportation,international-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,2910935.882905575,tonnes,annual,2023-10-10 21:31:24.469334,
NGA,transportation,international-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,2910935.882905575,tonnes,annual,2023-10-10 21:31:24.46937,
NGA,transportation,international-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,2910935.882905575,tonnes,annual,2023-10-10 21:31:24.469379,
NGA,transportation,international-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.46936,
NGA,transportation,international-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.470089,
NGA,transportation,international-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,2834465.602370363,tonnes,annual,2023-10-10 21:31:24.470062,
NGA,transportation,international-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,2834465.602370363,tonnes,annual,2023-10-10 21:31:24.470108,
NGA,transportation,international-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,2834465.602370363,tonnes,annual,2023-10-10 21:31:24.470116,
NGA,transportation,international-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.470098,
NGA,transportation,international-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.470803,
NGA,transportation,international-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,3071498.3925194102,tonnes,annual,2023-10-10 21:31:24.470788,
NGA,transportation,international-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,3071498.3925194102,tonnes,annual,2023-10-10 21:31:24.470822,
NGA,transportation,international-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,3071498.3925194102,tonnes,annual,2023-10-10 21:31:24.47083,
NGA,transportation,international-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.470812,
NGA,transportation,international-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.471519,
NGA,transportation,international-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,3279742.747128861,tonnes,annual,2023-10-10 21:31:24.471504,
NGA,transportation,international-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,3279742.747128861,tonnes,annual,2023-10-10 21:31:24.471538,
NGA,transportation,international-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,3279742.747128861,tonnes,annual,2023-10-10 21:31:24.471545,
NGA,transportation,international-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.471528,
NGA,transportation,international-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.472241,
NGA,transportation,international-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,3559230.456458466,tonnes,annual,2023-10-10 21:31:24.472226,
NGA,transportation,international-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,3559230.456458466,tonnes,annual,2023-10-10 21:31:24.47226,
NGA,transportation,international-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,3559230.456458466,tonnes,annual,2023-10-10 21:31:24.472268,
NGA,transportation,international-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.472251,
NGA,transportation,international-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.472987,
NGA,transportation,international-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,3643949.09124312,tonnes,annual,2023-10-10 21:31:24.472972,
NGA,transportation,international-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,3643949.09124312,tonnes,annual,2023-10-10 21:31:24.473006,
NGA,transportation,international-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,3643949.09124312,tonnes,annual,2023-10-10 21:31:24.473014,
NGA,transportation,international-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.472996,
NGA,transportation,international-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.473726,
NGA,transportation,international-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,3381856.6991034197,tonnes,annual,2023-10-10 21:31:24.473711,
NGA,transportation,international-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,3381856.6991034197,tonnes,annual,2023-10-10 21:31:24.473745,
NGA,transportation,international-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,3381856.6991034197,tonnes,annual,2023-10-10 21:31:24.473753,
NGA,transportation,international-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.473736,
NGA,transportation,international-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.474443,
NGA,transportation,international-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,3061886.1054636035,tonnes,annual,2023-10-10 21:31:24.474428,
NGA,transportation,international-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,3061886.1054636035,tonnes,annual,2023-10-10 21:31:24.474461,
NGA,transportation,international-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,3061886.1054636035,tonnes,annual,2023-10-10 21:31:24.474469,
NGA,transportation,international-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.474452,
NGA,transportation,international-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:24.475153,
NGA,transportation,international-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,3146867.579230377,tonnes,annual,2023-10-10 21:31:24.475138,
NGA,transportation,international-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,3146867.579230377,tonnes,annual,2023-10-10 21:31:24.475172,
NGA,transportation,international-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_20yr,3146867.579230377,tonnes,annual,2023-10-10 21:31:24.47518,
NGA,transportation,international-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:24.475162,
