iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,waste,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,5791.952216000001,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:32.442611
NGA,waste,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
NGA,waste,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,162174.66204800003,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:32.442611
NGA,waste,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,486523.986144,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:32.442611
NGA,waste,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
NGA,waste,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,5951.689189,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:25.870701
NGA,waste,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
NGA,waste,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,166647.297292,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:25.870701
NGA,waste,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,499941.891876,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:25.870701
NGA,waste,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
NGA,waste,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,6115.492649,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:19.491563
NGA,waste,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
NGA,waste,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,171233.794172,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:19.491563
NGA,waste,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,513701.3825159999,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:19.491563
NGA,waste,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
NGA,waste,incineration-and-open-burning-of-waste,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,6283.504216,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:12.85397
NGA,waste,incineration-and-open-burning-of-waste,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
NGA,waste,incineration-and-open-burning-of-waste,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,175938.118048,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:12.85397
NGA,waste,incineration-and-open-burning-of-waste,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,527814.354144,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:12.85397
NGA,waste,incineration-and-open-burning-of-waste,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
NGA,waste,incineration-and-open-burning-of-waste,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,6369.287423000001,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:05.459071
NGA,waste,incineration-and-open-burning-of-waste,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,
NGA,waste,incineration-and-open-burning-of-waste,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,178340.04784400002,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:05.459071
