source_id,source_name,iso3_country,sector,subsector,start_time,end_time,source_type,capacity,capacity_factor,activity,co2_emissions_factor,ch4_emissions_factor,n2o_emissions_factor,co2_emissions,ch4_emissions,n2o_emissions,total_co2e_20yrgwp,created_date,modified_date,total_co2e_100yrgwp
3289494,,NGA,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,low,low,very high,low,very high,low,low,very high,low,low,low,2023-10-01 00:00:00,,low
3289494,,NGA,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,low,low,very high,low,very high,low,low,very high,low,low,low,2023-10-01 00:00:00,,low
3289494,,NGA,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,low,low,very high,low,very high,low,low,very high,low,low,low,2023-10-01 00:00:00,,low
3289494,,NGA,waste,wastewater-treatment-and-discharge,2018-01-01 00:00:00,2018-12-31 00:00:00,low,low,very high,low,very high,low,low,very high,low,low,low,2023-10-01 00:00:00,,low
3289494,,NGA,waste,wastewater-treatment-and-discharge,2019-01-01 00:00:00,2019-12-31 00:00:00,low,medium,very high,medium,very high,low,medium,very high,low,medium,low,2023-10-01 00:00:00,,low
3289494,,NGA,waste,wastewater-treatment-and-discharge,2020-01-01 00:00:00,2020-12-31 00:00:00,low,medium,very high,medium,very high,low,medium,very high,low,medium,low,2023-10-01 00:00:00,,low
3289494,,NGA,waste,wastewater-treatment-and-discharge,2021-01-01 00:00:00,2021-12-31 00:00:00,low,high,very high,high,very high,medium,medium,very high,medium,medium,low,2023-10-01 00:00:00,,low
3289494,,NGA,waste,wastewater-treatment-and-discharge,2022-01-01 00:00:00,2022-12-31 00:00:00,low,high,very high,high,very high,medium,medium,very high,medium,medium,low,2023-10-01 00:00:00,,low
3289496,,NGA,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,low,low,very high,low,very high,low,low,very high,low,low,low,2023-10-01 00:00:00,,low
3289496,,NGA,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,low,low,very high,low,very high,low,low,very high,low,low,low,2023-10-01 00:00:00,,low
3289496,,NGA,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,low,low,very high,low,very high,low,low,very high,low,low,low,2023-10-01 00:00:00,,low
3289496,,NGA,waste,wastewater-treatment-and-discharge,2018-01-01 00:00:00,2018-12-31 00:00:00,low,low,very high,low,very high,low,low,very high,low,low,low,2023-10-01 00:00:00,,low
3289496,,NGA,waste,wastewater-treatment-and-discharge,2019-01-01 00:00:00,2019-12-31 00:00:00,low,medium,very high,medium,very high,low,medium,very high,low,medium,low,2023-10-01 00:00:00,,low
3289496,,NGA,waste,wastewater-treatment-and-discharge,2020-01-01 00:00:00,2020-12-31 00:00:00,low,medium,very high,medium,very high,low,medium,very high,low,medium,low,2023-10-01 00:00:00,,low
3289496,,NGA,waste,wastewater-treatment-and-discharge,2021-01-01 00:00:00,2021-12-31 00:00:00,low,high,very high,high,very high,medium,medium,very high,medium,medium,low,2023-10-01 00:00:00,,low
3289496,,NGA,waste,wastewater-treatment-and-discharge,2022-01-01 00:00:00,2022-12-31 00:00:00,low,high,very high,high,very high,medium,medium,very high,medium,medium,low,2023-10-01 00:00:00,,low
3289506,,NGA,waste,wastewater-treatment-and-discharge,2015-01-01 00:00:00,2015-12-31 00:00:00,low,low,very high,low,very high,low,low,very high,low,low,low,2023-10-01 00:00:00,,low
3289506,,NGA,waste,wastewater-treatment-and-discharge,2016-01-01 00:00:00,2016-12-31 00:00:00,low,low,very high,low,very high,low,low,very high,low,low,low,2023-10-01 00:00:00,,low
3289506,,NGA,waste,wastewater-treatment-and-discharge,2017-01-01 00:00:00,2017-12-31 00:00:00,low,low,very high,low,very high,low,low,very high,low,low,low,2023-10-01 00:00:00,,low
3289506,,NGA,waste,wastewater-treatment-and-discharge,2018-01-01 00:00:00,2018-12-31 00:00:00,low,low,very high,low,very high,low,low,very high,low,low,low,2023-10-01 00:00:00,,low
3289506,,NGA,waste,wastewater-treatment-and-discharge,2019-01-01 00:00:00,2019-12-31 00:00:00,low,medium,very high,medium,very high,low,medium,very high,low,medium,low,2023-10-01 00:00:00,,low
3289506,,NGA,waste,wastewater-treatment-and-discharge,2020-01-01 00:00:00,2020-12-31 00:00:00,low,medium,very high,medium,very high,low,medium,very high,low,medium,low,2023-10-01 00:00:00,,low
3289506,,NGA,waste,wastewater-treatment-and-discharge,2021-01-01 00:00:00,2021-12-31 00:00:00,low,high,very high,high,very high,medium,medium,very high,medium,medium,low,2023-10-01 00:00:00,,low
3289506,,NGA,waste,wastewater-treatment-and-discharge,2022-01-01 00:00:00,2022-12-31 00:00:00,low,high,very high,high,very high,medium,medium,very high,medium,medium,low,2023-10-01 00:00:00,,low
