id,name,lat,lon,type,fuel,state,country,status,capacity_power,units,capacity_factor,fuel_volume,unit,emfpm10,pm10_t_yr,emfpm25,pm25_t_yr,emfso2,so2_t_yr,emfnox,nox_t_yr,emfco,co_t_yr,source
FOP-1,MUMIAS SUGAR,0.3643,34.5052,Power Generation,biofuel,,Kenya,,43.5,MW,0.33,9454872.18,litres/year,1.22E-07,1.153494406,1.22E-07,1.15538538,9.6E-09,0.090766773,0.0000016,15.12779549,0.00000134,12.66952872,https://climatetrace.org/data
FOP-2,PERENCO KINKASI,-5.9282,12.3648,Power Generation,gas,,Democratic Republic of the Congo,,14.5,MW,0.33,3151624.06,m3/year,0.000000122,0.384498135,1.22E-07,0.38512846,9.60E-09,0.030255591,0.0000016,5.042598496,0.00000134,4.223176241,https://climatetrace.org/data
FOP-3,DJENO ENI,-4.9205,11.9378,Power Generation,gas,,Republic of the Congo,,25,MW,0.33,5433834.586,m3/year,1.22E-07,0.66292782,1.22E-07,0.664014586,9.6E-09,0.052164812,0.0000016,8.694135338,0.00000134,7.281338346,https://climatetrace.org/data
FOP-4,Centrale Électrique du Congo (CEC) power station,-4.8897,11.9155,Power Generation,gas,,Republic of the Congo,,484,MW,0.33,105199037.6,m3/year,1.22E-07,12.83428259,1.22E-07,12.85532239,9.6E-09,1.009910761,0.0000016,168.3184602,0.00000134,140.9667104,https://climatetrace.org/data
FOP-5,KAKIRA SUGAR,0.5089,33.29,Power Generation,biofuel,,Uganda,,58,MW,0.33,12606496.24,litres/year,0.000000122,1.537992541,1.22E-07,1.540513841,9.60E-09,0.121022364,0.0000016,20.17039398,0.00000134,16.89270496,https://climatetrace.org/data
FOP-6,KPONE CENPOWER,5.6812,0.0411,Power Generation,gas,,Ghana,,330,MW,0.33,71726616.54,m3/year,0.000000122,8.750647218,1.22E-07,8.764992541,9.60E-09,0.688575519,0.0000016,114.7625865,0.00000134,96.11366617,https://climatetrace.org/data
FOP-7,TAKORADI-T1,4.9715,-1.6586,Power Generation,gas,,Ghana,,832.9,MW,0.33,181033633.1,m3/year,1.22E-07,22.08610324,1.22E-07,22.12230996,9.6E-09,1.737922878,0.0000016,289.6538129,0.00000134,242.5850683,https://climatetrace.org/data
FOP-8,POWERSHIP OSMAN KHAN,4.9384,-1.6967,Power Generation,gas,,Ghana,,470,MW,0.33,102156090.2,m3/year,1.22E-07,12.46304301,1.22E-07,12.48347423,9.6E-09,0.980698466,0.0000016,163.4497444,0.00000134,136.8891609,https://climatetrace.org/data
FOP-9,Kpone Thermal power plant,5.7346,0.0093,Power Generation,gas,,Ghana,,220,MW,0.33,47817744.36,m3/year,0.000000122,5.833764812,1.22E-07,5.843328361,9.60E-09,0.459050346,0.0000016,76.50839098,0.00000134,64.07577744,https://climatetrace.org/data
FOP-10,KPONE ASOGLI,5.6803,0.0471,Power Generation,gas,,Ghana,,750,MW,0.33,163015037.6,m3/year,0.000000122,19.88783459,1.22E-07,19.92043759,9.60E-09,1.564944361,0.0000016,260.8240602,0.00000134,218.4401504,https://climatetrace.org/data
FOP-11,BRIDGE POWER,5.6777,0.0194,Power Generation,gas,,Ghana,,115,MW,0.33,24995639.1,m3/year,1.22E-07,3.04946797,1.22E-07,3.054467098,9.6E-09,0.239958135,0.0000016,39.99302256,0.00000134,33.49415639,https://climatetrace.org/data
FOP-12,TWIN CITY ENERGY,4.9682,-1.6674,Power Generation,gas,,Ghana,,200,MW,0.33,43470676.69,m3/year,1.22E-07,5.303422556,1.22E-07,5.312116692,9.6E-09,0.417318496,0.0000016,69.55308271,0.00000134,58.25070677,https://climatetrace.org/data
FOP-13,Tema CENIT Thermal power plant (TCTPP),5.6743,0.0125,Power Generation,gas,,Ghana,,300,MW,0.33,65206015.04,m3/year,1.22E-07,7.955133835,1.22E-07,7.968175038,9.6E-09,0.625977744,0.0000016,104.3296241,0.00000134,87.37606015,https://climatetrace.org/data
FOP-14,Geregu II power station,7.4717,6.6602,Power Generation,gas,,Nigeria,,507,MW,0.33,110198165.4,m3/year,1.22E-07,13.44417618,1.22E-07,13.46621581,9.6E-09,1.057902388,0.0000016,176.3170647,0.00000134,147.6655417,https://climatetrace.org/data
FOP-15,POWER BARGE EBUTE,6.5595,3.6146,Power Generation,gas,,Nigeria,,270,MW,0.33,58685413.53,m3/year,0.000000122,7.159620451,1.22E-07,7.171357534,9.60E-09,0.56337997,0.0000016,93.89666165,0.00000134,78.63845414,https://climatetrace.org/data
FOP-16,AFAM,4.8518,7.2535,Power Generation,gas,,Nigeria,,726,MW,0.33,157798556.4,m3/year,0.000000122,19.25142388,1.22E-07,19.28298359,9.60E-09,1.514866141,0.0000016,252.4776902,0.00000134,211.4500656,https://climatetrace.org/data
FOP-17,ALSCON Smelter power plant,4.5687,7.5735,Power Generation,gas,,Nigeria,,180,MW,0.33,39123609.02,m3/year,0.000000122,4.773080301,1.22E-07,4.780905023,9.60E-09,0.375586647,0.0000016,62.59777444,0.00000134,52.42563609,https://climatetrace.org/data
FOP-18,Afam (FIPL) power station,4.835,7.2265,Power Generation,gas,,Nigeria,,360,MW,0.33,78247218.05,m3/year,0.000000122,9.546160602,1.22E-07,9.561810045,9.60E-09,0.751173293,0.0000016,125.1955489,0.00000134,104.8512722,https://climatetrace.org/data
FOP-19,Afam VI power station,4.8495,7.2569,Power Generation,gas,,Nigeria,,1150,MW,0.33,249956391,m3/year,1.22E-07,30.4946797,1.22E-07,30.54467098,9.6E-09,2.399581353,0.0000016,399.9302256,0.00000134,334.9415639,https://climatetrace.org/data
FOP-20,Alaoji power station,5.0668,7.3218,Power Generation,gas,,Nigeria,,496,MW,0.33,107807278.2,m3/year,1.22E-07,13.15248794,1.22E-07,13.1740494,9.6E-09,1.034949871,0.0000016,172.4916451,0.00000134,144.4617528,https://climatetrace.org/data
FOP-21,Azura-Edo IPP power station,6.4099,5.6806,Power Generation,gas,,Nigeria,,462,MW,0.33,100417263.2,m3/year,1.22E-07,12.25090611,1.22E-07,12.27098956,9.6E-09,0.964005726,0.0000016,160.6676211,0.00000134,134.5591326,https://climatetrace.org/data
FOP-22,BONNY ISLAND TERMINAL,4.42,7.1556,Power Generation,gas,,Nigeria,,105,MW,0.33,22822105.26,m3/year,0.000000122,2.784296842,1.222E-07,2.788861263,9.6E-09,0.219092211,0.0000016,36.51536842,0.00000134,30.58162105,https://climatetrace.org/data
FOP-23,BONNY LNG PLANT,4.4184,7.1616,Power Generation,gas,,Nigeria,,414.6,MW,0.33,90114712.78,m3/year,0.000000122,10.99399496,1.222E-07,11.0120179,9.6E-09,0.865101243,0.0000016,144.1835405,0.00000134,120.7537151,https://climatetrace.org/data
FOP-24,Calabar power station,5.1897,8.2726,Power Generation,gas,,Nigeria,,565,MW,0.33,122804661.7,m3/year,0.000000122,14.98216872,1.222E-07,15.00672965,9.6E-09,1.178924752,0.0000016,196.4874586,0.00000134,164.5582466,https://climatetrace.org/data
FOP-25,DELTA-UGHELLI**,5.5399,5.9151,Power Generation,gas,,Nigeria,,892.68,MW,0.33,194027018.3,m3/year,0.000000122,23.67129624,1.222E-07,23.71010164,9.6E-09,1.862659376,0.0000016,310.4432294,0.00000134,259.9962046,https://climatetrace.org/data
FOP-26,ELEME PETROCHEM**,4.8351,7.102,Power Generation,gas,,Nigeria,,198,MW,0.33,43035969.92,m3/year,0.000000122,5.250388331,1.222E-07,5.258995525,9.6E-09,0.413145311,0.0000016,68.85755188,0.00000134,57.6681997,https://climatetrace.org/data
FOP-27,Egbin power station**,6.5637,3.6151,Power Generation,gas,,Nigeria,,1320,MW,0.33,286906466.2,m3/year,0.000000122,35.00258887,1.222E-07,35.05997017,9.6E-09,2.754302075,0.0000016,459.0503459,0.00000134,384.4546647,https://climatetrace.org/data
FOP-28,Sapele power station,5.9261,5.645,Power Generation,gas,,Nigeria,,932,MW,0.33,202573353.4,m3/year,0.000000122,24.71394911,1.222E-07,24.75446378,9.6E-09,1.944704192,0.0000016,324.1173654,0.00000134,271.4482935,https://climatetrace.org/data
FOP-29,Gbarain Gas Plant power station,5.0311,6.3016,Power Generation,gas,,Nigeria,,252,MW,0.33,54773052.63,m3/year,0.000000122,6.682312421,1.222E-07,6.693267032,9.6E-09,0.525821305,0.0000016,87.63688421,0.00000134,73.39589053,https://climatetrace.org/data
FOP-30,IBOM,4.5646,7.5674,Power Generation,gas,,Nigeria,,269,MW,0.33,58468060.15,m3/year,0.000000122,7.133103338,1.222E-07,7.14479695,9.6E-09,0.561293377,0.0000016,93.54889624,0.00000134,78.3472006,https://climatetrace.org/data
FOP-31,Ibese Cement power station,7.0092,3.0509,Power Generation,gas,,Nigeria,,124.02,MW,0.33,26956166.62,m3/year,0.000000122,3.288652327,1.222E-07,3.294043561,9.6E-09,0.2587792,0.0000016,43.12986659,0.00000134,36.12126327,https://climatetrace.org/data
FOP-32,Ihovbor power station,6.4068,5.6829,Power Generation,gas,,Nigeria,,452,MW,0.33,98243729.32,m3/year,0.000000122,11.98573498,1.222E-07,12.00538372,9.6E-09,0.943139802,0.0000016,157.1899669,0.00000134,131.6465973,https://climatetrace.org/data
FOP-33,Lekki Refinery power station,6.4698,3.5852,Power Generation,gas,,Nigeria,,570,MW,0.33,123891428.6,m3/year,0.000000122,15.11475429,1.222E-07,15.13953257,9.6E-09,1.189357714,0.0000016,198.2262857,0.00000134,166.0145143,https://climatetrace.org/data
FOP-34,Maiduguri power plant,11.833,13.15,Power Generation,gas,,Nigeria,,50,MW,0.33,10867669.17,m3/year,0.000000122,1.325855639,1.222E-07,1.328029173,9.6E-09,0.104329624,0.0000016,17.38827068,0.00000134,14.56267669,https://climatetrace.org/data
FOP-35,OKPAI,5.7097,6.5759,Power Generation,gas,,Nigeria,,456,MW,0.33,99113142.86,m3/year,0.000000122,12.09180343,1.222E-07,12.11162606,9.6E-09,0.951486171,0.0000016,158.5810286,0.00000134,132.8116114,https://climatetrace.org/data
FOP-36,OLORUNSOGO -I,6.8939,3.2056,Power Generation,gas,,Nigeria,,304,MW,0.33,66075428.57,m3/year,0.000000122,8.061202286,1.222E-07,8.074417371,9.6E-09,0.634324114,0.0000016,105.7206857,0.00000134,88.54107429,https://climatetrace.org/data
FOP-37,OLORUNSOGO-II,6.8853,3.3163,Power Generation,gas,,Nigeria,,750,MW,0.33,163015037.6,m3/year,0.000000122,19.88783459,1.222E-07,19.92043759,9.6E-09,1.564944361,0.0000016,260.8240602,0.00000134,218.4401504,https://climatetrace.org/data
FOP-38,OMOKU-I**,5.39,6.6632,Power Generation,gas,,Nigeria,,152,MW,0.33,33037714.29,m3/year,0.000000122,4.030601143,1.222E-07,4.037208686,9.6E-09,0.317162057,0.0000016,52.86034286,0.00000134,44.27053714,https://climatetrace.org/data
FOP-39,OMOTOSHO-I,6.736,4.7104,Power Generation,gas,,Nigeria,,335.2,MW,0.33,72856854.14,m3/year,0.000000122,8.888536205,1.222E-07,8.903107575,9.6E-09,0.6994258,0.0000016,116.5709666,0.00000134,97.62818454,https://climatetrace.org/data
FOP-40,Omoku-II power station,5.385,6.665,Power Generation,gas,,Nigeria,,226,MW,0.33,49121864.66,m3/year,0.000000122,5.992867489,1.222E-07,6.002691862,9.6E-09,0.471569901,0.0000016,78.59498346,0.00000134,65.82329865,https://climatetrace.org/data
FOP-41,Omotosho II power station,6.7324,4.7109,Power Generation,gas,,Nigeria,,512,MW,0.33,111284932.3,m3/year,0.000000122,13.57676174,1.222E-07,13.59901873,9.6E-09,1.06833535,0.0000016,178.0558917,0.00000134,149.1218093,https://climatetrace.org/data
FOP-42,Geregu I power station,7.4696,6.659,Power Generation,gas,,Nigeria,,435,MW,0.33,94548721.8,m3/year,0.000000122,11.53494406,1.222E-07,11.5538538,9.6E-09,0.907667729,0.0000016,151.2779549,0.00000134,126.6952872,https://climatetrace.org/data
FOP-43,TRANS-AMADI,4.816,7.0314,Power Generation,gas,,Nigeria,,130,MW,0.33,28255939.85,m3/year,0.000000122,3.447224662,1.222E-07,3.45287585,9.6E-09,0.271257023,0.0000016,45.20950376,0.00000134,37.8629594,https://climatetrace.org/data
FOP-44,Aksa Ghana HFO power plant,5.6927,0.0215,Power Generation,oil,,Ghana,,370,MW,0.33,270607788,litres/year,3.69112E-06,49.94229092,2.40412E-06,32.52867976,0.00006594,892.193877,0.0000066,178.6011401,0.0000006,8.11823364,https://climatetrace.org/data
FOP-45,ANWOMASO MOBILE,4.9742,-1.6603,Power Generation,oil,,Ghana,,250,MW,0.33,182843100,litres/year,3.69112E-06,33.74479116,2.40412E-06,21.97883768,0.00006594,602.8337007,0.0000066,120.676446,0.0000006,5.485293,https://climatetrace.org/data
FOP-46,Kipevu III power station,-4.0379,39.6335,Power Generation,oil,,Kenya,,116.9,MW,0.33,85497433.56,litres/year,3.69112E-06,15.77906435,2.40412E-06,10.2773045,0.00006594,281.8850384,0.0000066,56.42830615,0.0000006,2.564923007,https://climatetrace.org/data
FOP-47,KIPEVU-I,-4.0391,39.6357,Power Generation,oil,,Kenya,,0,MW,0.33,0,litres/year,3.69112E-06,0,2.40412E-06,0,0.00006594,0,0.0000066,0,0.0000006,0,https://climatetrace.org/data
FOP-48,Rabai power station,-3.9334,39.5627,Power Generation,oil,,Kenya,,92.6,MW,0.33,67725084.24,litres/year,3.69112E-06,12.49907065,2.40412E-06,8.140961476,0.00006594,223.2896027,0.0000066,44.6985556,0.0000006,2.031752527,https://climatetrace.org/data
FOP-49,EMBAKASI SUBSTATION,-1.3401,36.874,Power Generation,oil,,Kenya,,180,MW,0.33,131647032,litres/year,3.69112E-06,24.29624964,2.40412E-06,15.82476313,0.00006594,434.0402645,0.0000066,86.88704112,0.0000006,3.94941096,https://climatetrace.org/data
FOP-50,Kipevu II Tsavo power station,-4.04,39.6346,Power Generation,oil,,Kenya,,0,MW,0.33,0,litres/year,3.69112E-06,0,2.40412E-06,0,0.00006594,0,0.0000066,0,0.0000006,0,https://climatetrace.org/data
FOP-51,Athi Triumph power station,-1.4622,36.9555,Power Generation,oil,,Kenya,,83.2,MW,0.33,60850183.68,litres/year,3.69112E-06,11.2302665,2.40412E-06,7.314557179,0.00006594,200.6230556,0.0000066,40.16112123,0.0000006,1.82550551,https://climatetrace.org/data
FOP-52,NSPP,-1.2936,36.8199,Power Generation,oil,,Kenya,,53,MW,0.33,38762737.2,litres/year,3.69112E-06,7.153895727,2.40412E-06,4.659513588,0.00006594,127.8007445,0.0000066,25.58340655,0.0000006,1.162882116,https://climatetrace.org/data
FOP-53,Athi River power station,-1.4588,37.0043,Power Generation,oil,,Kenya,,80,MW,0.33,58509792,litres/year,3.69112E-06,10.79833317,2.40412E-06,7.033228057,0.00006594,192.9067842,0.0000066,38.61646272,0.0000006,1.75529376,https://climatetrace.org/data
FOP-54,MUHORONI THERMAL,-0.208,35.1521,Power Generation,oil,,Kenya,,60,MW,0.33,43882344,litres/year,3.69112E-06,8.098749879,2.40412E-06,5.274921043,0.00006594,144.6800882,0.0000066,28.96234704,0.0000006,1.31647032,https://climatetrace.org/data
FOP-55,Thika Power Plant,-1.0606,37.0509,Power Generation,oil,,Kenya,,93.8,MW,0.33,68602731.12,litres/year,3.69112E-06,12.66104564,2.40412E-06,8.246459897,0.00006594,226.1832045,0.0000066,45.27780254,0.0000006,2.058081934,https://climatetrace.org/data
FOP-56,MPILA,-4.2496,15.3025,Power Generation,oil,,Republic of the Congo,,32,MW,0.33,23403916.8,litres/year,3.69112E-06,4.319333269,2.40412E-06,2.813291223,0.00006594,77.16271369,0.0000066,15.44658509,0.0000006,0.702117504,https://climatetrace.org/data
FOP-57,Namanve Thermal power station,0.3821,32.6786,Power Generation,oil,,Uganda,,50,MW,0.33,36568620,litres/year,3.69112E-06,6.748958233,2.40412E-06,4.395767536,0.00006594,120.5667401,0.0000066,24.1352892,0.0000006,1.0970586,https://climatetrace.org/data
FOP-58,LUGOGO SUBSTATION,0.358,32.694,Power Generation,oil,,Uganda,,50,MW,0.33,36568620,litres/year,3.69112E-06,6.748958233,2.40412E-06,4.395767536,0.00006594,120.5667401,0.0000066,24.1352892,0.0000006,1.0970586,https://climatetrace.org/data
