iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
UGA,agriculture,cropland-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,2953.95263292149,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,1657495.5310486,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1758750.463532241,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,1917082.3246568327,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,76.58395922409,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,2785.4900236578,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,1562969.17187742,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,1658449.5731626386,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,1807751.8384306969,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,72.2163833030275,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,2741.93636394569,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,1538531.02230706,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1632518.5087503027,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,1779486.297857792,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,71.0872430180226,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,3195.09481253364,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,1792803.238182,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,1902323.9872287277,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,2073581.0691805305,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,82.8357880798991,tonnes,annual,2023-10-06 00:00:00,
UGA,agriculture,cropland-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,3555.69320517149,tonnes,annual,2023-10-06 00:00:00,
