iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
UGA,agriculture,enteric-fermentation-cattle-feedlot,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,210498.7,tonnes,annual,2023-10-03 21:10:33.987752,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:33.987741,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,5725564.699999999,tonnes,annual,2023-10-03 21:10:33.987768,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,17008294.9,tonnes,annual,2023-10-03 21:10:33.987776,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:33.987759,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,205519.7,tonnes,annual,2023-10-03 21:10:34.111381,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:34.111369,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,5590135.9,tonnes,annual,2023-10-03 21:10:34.111397,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,16605991.7,tonnes,annual,2023-10-03 21:10:34.111404,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:34.111388,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,205170.1,tonnes,annual,2023-10-03 21:10:34.239941,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:34.23993,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,5580626.8,tonnes,annual,2023-10-03 21:10:34.239958,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,16577744.0,tonnes,annual,2023-10-03 21:10:34.239965,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:34.239948,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,208595.8,tonnes,annual,2023-10-03 21:10:34.36288,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:34.36287,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,5673805.699999999,tonnes,annual,2023-10-03 21:10:34.362897,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,16854540.7,tonnes,annual,2023-10-03 21:10:34.362904,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:34.362887,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,221016.0,tonnes,annual,2023-10-03 21:10:34.480408,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:34.480399,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,6011635.2,tonnes,annual,2023-10-03 21:10:34.480424,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,17858092.8,tonnes,annual,2023-10-03 21:10:34.480432,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:34.480415,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,211794.9,tonnes,annual,2023-10-03 21:10:34.60231,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:34.602285,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,5760821.2,tonnes,annual,2023-10-03 21:10:34.602326,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,17113028.0,tonnes,annual,2023-10-03 21:10:34.602334,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:34.602318,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,214003.2,tonnes,annual,2023-10-03 21:10:34.717283,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:34.717274,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,5820887.1,tonnes,annual,2023-10-03 21:10:34.717308,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,17291458.5,tonnes,annual,2023-10-03 21:10:34.717316,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:34.717291,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,214003.2,tonnes,annual,2023-10-03 21:10:34.829961,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:34.829951,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,5820887.1,tonnes,annual,2023-10-03 21:10:34.829976,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,17291458.5,tonnes,annual,2023-10-03 21:10:34.829983,
UGA,agriculture,enteric-fermentation-cattle-feedlot,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:34.829968,
