iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
UGA,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:39.796272,
UGA,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,153000.0,tonnes,annual,2023-10-03 21:10:39.796251,2023-10-31 20:30:14.555678
UGA,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,153000.0,tonnes,annual,2023-10-03 21:10:39.796301,2023-10-31 20:30:14.555678
UGA,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,153000.0,tonnes,annual,2023-10-03 21:10:39.796316,2023-10-31 20:30:14.555678
UGA,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:39.796287,
UGA,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:39.797124,
UGA,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,151000.0,tonnes,annual,2023-10-03 21:10:39.797103,2023-10-31 20:30:14.555678
UGA,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,151000.0,tonnes,annual,2023-10-03 21:10:39.797156,2023-10-31 20:30:14.555678
UGA,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,151000.0,tonnes,annual,2023-10-03 21:10:39.79717,2023-10-31 20:30:14.555678
UGA,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:39.797141,
UGA,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:39.79796,
UGA,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,130000.0,tonnes,annual,2023-10-03 21:10:39.797939,2023-10-31 20:30:14.555678
