iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
UGA,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,5.03146,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:34.328448
UGA,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,89838.84181,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:34.328448
UGA,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,99168.502555,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:34.328448
UGA,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,99415.589674,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:34.328448
UGA,transportation,railways,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,34.674641,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:34.328448
UGA,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,5.39085,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.159334
UGA,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,96255.9,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.159334
UGA,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,106251.9648,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.159334
UGA,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,106516.701,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.159334
UGA,transportation,railways,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,37.1514,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:28.159334
UGA,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,5.662385,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.046751
UGA,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,101104.267,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.046751
UGA,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,111603.82928,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.046751
UGA,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,111881.90013999998,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.046751
UGA,transportation,railways,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,39.0227,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:21.046751
UGA,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,6.250523,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:14.435384
UGA,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,111605.7168,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:14.435384
UGA,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,123195.84255899998,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:14.435384
UGA,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,123502.795956,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:14.435384
UGA,transportation,railways,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,43.075891,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:14.435384
UGA,transportation,railways,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,6.192838,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:07.334776
UGA,transportation,railways,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,110575.725,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:07.334776
UGA,transportation,railways,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,122058.887214,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:07.334776
UGA,transportation,railways,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,122363.007792,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:07.334776
UGA,transportation,railways,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,42.678349999999995,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:07.334776
UGA,transportation,railways,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,6.307294,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:01.214983
