iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
UGA,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,477.818751,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,2139529.57855794,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,2158902.746960565,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,2172652.7515376727,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,75.871068,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,512.3815440000001,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,2226625.1199798933,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,2251271.496960001,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,2266378.223918131,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,93.126398,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,577.948091,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,2497332.9762725253,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,2525121.9506998723,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,2542242.585465688,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,104.606723,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,613.785583,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,2719813.1213183715,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,2749079.4764703307,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,2766879.2583631584,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,112.113475,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:17.644551
UGA,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,623.777851,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
UGA,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,2764090.7954492783,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
UGA,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,2793833.5976974093,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
UGA,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,2811923.156328377,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
UGA,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,113.938643,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
UGA,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,546.895037,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
UGA,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,2423406.8811993785,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
UGA,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,2449483.778616665,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:34:18.868229
